wiktionary-cldr-merge	ton	http://wiktionary.org/	CC BY-SA
08780881-n	ton:lemma	Kalisi	
08737041-n	ton:lemma	Kuatamala	
08838319-n	ton:lemma	Kuamu	
08947772-n	ton:lemma	Kini-Pisau	
08948346-n	ton:lemma	Kuiana	
08731148-n	ton:lemma	Hongi	
08731148-n	ton:lemma	Hongi	
08737716-n	ton:lemma	Honitulasi	
08815858-n	ton:lemma	Kuloisia	
08751494-n	ton:lemma	Haiti	
08751317-n	ton:lemma	Haiti	
08952190-n	ton:lemma	Hangakalia	
09024972-n	ton:lemma	ʻOtumotu	
08907606-n	ton:lemma	ʻInitonēsia	
08888676-n	ton:lemma	ʻAealani	
08859173-n	ton:lemma	ʻAealani	
08792548-n	ton:lemma	ʻIsileli	
08792295-n	ton:lemma	ʻIsileli	
08887716-n	ton:lemma	Motu	
08900535-n	ton:lemma	ʻInitia	
08913434-n	ton:lemma	ʻIulaaki	
08910668-n	ton:lemma	ʻIulaani	
08953324-n	ton:lemma	ʻAisilani	
08953151-n	ton:lemma	ʻAisilani	
08801678-n	ton:lemma	ʻĪtali	
09112282-n	ton:lemma	Selusī	
08753933-n	ton:lemma	Samaika	
08753729-n	ton:lemma	Samaika	
08927186-n	ton:lemma	Soatane	
08920381-n	ton:lemma	Siapani	
08921850-n	ton:lemma	Siapani	
08928193-n	ton:lemma	Kenia	
09020440-n	ton:lemma	Kekisiteni	
08716738-n	ton:lemma	Kemipōtia	
08840749-n	ton:lemma	Kilipasi	
08733897-n	ton:lemma	Komolosi	
08987423-n	ton:lemma	Seini	
08955082-n	ton:lemma	Kōlea	
08955626-n	ton:lemma	Kōlea	
08929555-n	ton:lemma	Kueiti	
08929243-n	ton:lemma	Kueiti	
08709399-n	ton:lemma	ʻOtumotu	
09019726-n	ton:lemma	Kasakiteni	
08956760-n	ton:lemma	Lau	
08957381-n	ton:lemma	Lepanoni	
08988453-n	ton:lemma	Seini	
08988609-n	ton:lemma	Seini	
08960548-n	ton:lemma	Lekitenisaini	
08719100-n	ton:lemma	Silangikā	
08959254-n	ton:lemma	Laipelia	
08958830-n	ton:lemma	Lesoto	
09013830-n	ton:lemma	Lifiuenia	
08960987-n	ton:lemma	Lakisimipeki	
08961402-n	ton:lemma	Lakisimipeki	
09013074-n	ton:lemma	Lativia	
08959683-n	ton:lemma	Lipia	
08969291-n	ton:lemma	Molako	
08967868-n	ton:lemma	Manako	
09014586-n	ton:lemma	Molotova	
08817235-n	ton:lemma	Monitenikalo	
08749650-n	ton:lemma	Seini	
08962187-n	ton:lemma	Matakasika	
08961970-n	ton:lemma	Matakasika	
08839092-n	ton:lemma	ʻOtumotu	
08838887-n	ton:lemma	ʻOtumotu	
08915372-n	ton:lemma	Masitōnia	
08961630-n	ton:lemma	Masitōnia	
08915372-n	ton:lemma	Masitōnia	
08961630-n	ton:lemma	Masitōnia	
08965598-n	ton:lemma	Māli	
08715390-n	ton:lemma	Pema	
08968879-n	ton:lemma	Mongokōlia	
08968677-n	ton:lemma	Mongokōlia	
08731423-n	ton:lemma	Makau	
08731423-n	ton:lemma	Makau	
08837864-n	ton:lemma	ʻOtumotu	
08943242-n	ton:lemma	Mateniki	
08966820-n	ton:lemma	Maulitenia	
08711300-n	ton:lemma	Moʻungaselati	
08966408-n	ton:lemma	Malita	
08966239-n	ton:lemma	Malita	
08967329-n	ton:lemma	Maulitiusi	
08967484-n	ton:lemma	Maulitiusi	
08965055-n	ton:lemma	Malativisi	
08965251-n	ton:lemma	Malativisi	
08962610-n	ton:lemma	Malaui	
08740875-n	ton:lemma	Mekisikou	
08963369-n	ton:lemma	Malēsia	
08971025-n	ton:lemma	Mosenipiki	
08699654-n	ton:lemma	Namipia	
08844108-n	ton:lemma	Niu	
08973330-n	ton:lemma	Naisia	
08835188-n	ton:lemma	Motu	
08973776-n	ton:lemma	Naisilia	
08738820-n	ton:lemma	Nikalakua	
08949093-n	ton:lemma	Hōlani	
08764107-n	ton:lemma	Noauē	
08906374-n	ton:lemma	Nepali	
08841483-n	ton:lemma	Naulu	
08841209-n	ton:lemma	Naulu	
08971914-n	ton:lemma	Nuʻusila	
08972521-n	ton:lemma	Nuʻusila	
08975106-n	ton:lemma	ʻOmani	
08739206-n	ton:lemma	Panamā	
08979054-n	ton:lemma	Pelū	
08989697-n	ton:lemma	Polinisia	
08844557-n	ton:lemma	Papuaniukini	
08981244-n	ton:lemma	Filipaini	
08980300-n	ton:lemma	Filipaini	
08975902-n	ton:lemma	Pākisitani	
08982587-n	ton:lemma	Poleni	
08752814-n	ton:lemma	Pueto	
08752974-n	ton:lemma	Pueto	
08984788-n	ton:lemma	Potukali	
08977948-n	ton:lemma	Palau	
08978161-n	ton:lemma	Palau	
08978343-n	ton:lemma	Palakuei	
08986905-n	ton:lemma	Katā	
08986691-n	ton:lemma	Katā	
08813978-n	ton:lemma	Lomēnia	
08816969-n	ton:lemma	Sēpia	
08815046-n	ton:lemma	Luanitā	
08993288-n	ton:lemma	Saute	
08997976-n	ton:lemma	ʻOtumotu	
08998233-n	ton:lemma	ʻOtumotu	
08996284-n	ton:lemma	ʻOtumotu	
08996483-n	ton:lemma	ʻOtumotu	
09029242-n	ton:lemma	Sūteni	
09029457-n	ton:lemma	Sūteni	
08765890-n	ton:lemma	Suēteni	
08997487-n	ton:lemma	Singapoa	
08997310-n	ton:lemma	Singapoa	
08997801-n	ton:lemma	Singapoa	
08818444-n	ton:lemma	Silōvenia	
08759013-n	ton:lemma	Silōvakia	
08996871-n	ton:lemma	Siela	
08992181-n	ton:lemma	Seni	
08992508-n	ton:lemma	Seni	
08995862-n	ton:lemma	Senikalo	
08998560-n	ton:lemma	Sōmalia	
09030752-n	ton:lemma	Sulinami	
08738272-n	ton:lemma	ʻEle	
09033333-n	ton:lemma	Sīlia	
09031233-n	ton:lemma	Suasileni	
08720037-n	ton:lemma	Seti	
08759986-n	ton:lemma	Toko	
09036452-n	ton:lemma	Taileni	
09020961-n	ton:lemma	Tasikitani	
08776435-n	ton:lemma	Timoa	
08776435-n	ton:lemma	Timoa	
09021503-n	ton:lemma	Tekimenisiteni	
09037394-n	ton:lemma	Tunīsia	
09039411-n	ton:lemma	Toake	
08756202-n	ton:lemma	Tilinitati	
08840374-n	ton:lemma	Tūvalu	
08840200-n	ton:lemma	Tūvalu	
08730550-n	ton:lemma	Taiuani	
