wiktionary-cldr-merge	xho	http://wiktionary.org/	CC BY-SA
06954925-n	xho:lemma	Isi-Swedish	
06995792-n	xho:lemma	Isi-Swahili	
06980315-n	xho:lemma	Isi-Tamil	
06980721-n	xho:lemma	Isi-Telegu	
06936149-n	xho:lemma	Isi-Thai	
06926889-n	xho:lemma	Turkmen	
06926798-n	xho:lemma	Isi-Turkish	
06927486-n	xho:lemma	Isi	
06944623-n	xho:lemma	Isi-Ukranian	
06969916-n	xho:lemma	Urdu	
06927363-n	xho:lemma	Isi-Uzbek	
06937229-n	xho:lemma	Isi-Vietnamese	
06951067-n	xho:lemma	Yiddish	
06994792-n	xho:lemma	isiZulu	
15210045-n	xho:lemma	Jan	
15210486-n	xho:lemma	Feb	
15210870-n	xho:lemma	Mat	
15211189-n	xho:lemma	Epr	
15211484-n	xho:lemma	Mey	
15211806-n	xho:lemma	Jun	
15212167-n	xho:lemma	Jul	
15212455-n	xho:lemma	Aga	
15212739-n	xho:lemma	Sep	
15213115-n	xho:lemma	Okt	
15213406-n	xho:lemma	Nov	
15213774-n	xho:lemma	Dis	
15210045-n	xho:lemma	Janyuwari	
15210486-n	xho:lemma	Februwari	
15210870-n	xho:lemma	Matshi	
15211189-n	xho:lemma	Epreli	
15211484-n	xho:lemma	Meyi	
15211806-n	xho:lemma	Juni	
15212167-n	xho:lemma	Julayi	
15212455-n	xho:lemma	Agasti	
15212739-n	xho:lemma	Septemba	
15213115-n	xho:lemma	Okthoba	
15213406-n	xho:lemma	Novemba	
15213774-n	xho:lemma	Disemba	
15163797-n	xho:lemma	Caw	
15163979-n	xho:lemma	Mvu	
15164105-n	xho:lemma	Bin	
15164233-n	xho:lemma	Tha	
15164354-n	xho:lemma	Sin	
15164463-n	xho:lemma	Hla	
15164570-n	xho:lemma	Mgq	
15163797-n	xho:lemma	Cawe	
15163979-n	xho:lemma	Mvulo	
15164105-n	xho:lemma	Lwesibini	
15164233-n	xho:lemma	Lwesithathu	
15164354-n	xho:lemma	Lwesine	
15164463-n	xho:lemma	Lwesihlanu	
15164570-n	xho:lemma	Mgqibelo	
