wiktionary-cldr-merge	spa	http://wiktionary.org/	CC BY-SA
04237773-n	spa:lemma	diapositiva	
04238128-n	spa:lemma	tobogán	
04238321-n	spa:lemma	cierre	
04238321-n	spa:lemma	cremallera	
04238321-n	spa:lemma	zíper	
04238321-n	spa:lemma	bragueta	
04239074-n	spa:lemma	puerta	
04239074-n	spa:lemma	corredera	
04239436-n	spa:lemma	cabestrillo	
04239639-n	spa:lemma	honda	
04241394-n	spa:lemma	pantufla	
04241394-n	spa:lemma	zapatilla	
04241394-n	spa:lemma	babucha	
04241940-n	spa:lemma	ranura	
04241940-n	spa:lemma	abertura	
04241940-n	spa:lemma	rendija	
04242408-n	spa:lemma	balandra	
04247175-n	spa:lemma	chimenea	
04248607-n	spa:lemma	instantánea	
04249415-n	spa:lemma	redoblante	
04249415-n	spa:lemma	caja	
04249415-n	spa:lemma	clara	
04249415-n	spa:lemma	tarola	
04249415-n	spa:lemma	caja	
04251560-n	spa:lemma	bola	
04251560-n	spa:lemma	de	
04251560-n	spa:lemma	nieve	
04251791-n	spa:lemma	tabla	
04251791-n	spa:lemma	de	
04251791-n	spa:lemma	snow	
04251983-n	spa:lemma	muñeco	
04251983-n	spa:lemma	de	
04251983-n	spa:lemma	nieve	
04252077-n	spa:lemma	motonieve	
04252225-n	spa:lemma	quitanieves	
04253057-n	spa:lemma	tabaquera	
04253437-n	spa:lemma	jabón	
04254009-n	spa:lemma	jabonera	
04255034-n	spa:lemma	enchufe	
04256520-n	spa:lemma	sofá	
04256520-n	spa:lemma	sillón	
04256758-n	spa:lemma	sofito	
04257790-n	spa:lemma	panel	
04257790-n	spa:lemma	solar	
04257790-n	spa:lemma	panel	
04257790-n	spa:lemma	fotovoltaico	
04257986-n	spa:lemma	célula	
04257986-n	spa:lemma	solar	
04258859-n	spa:lemma	soldador	
04258982-n	spa:lemma	suela	
04259202-n	spa:lemma	solenoide	
04259630-n	spa:lemma	sombrero	
04259630-n	spa:lemma	mexicano	
04259630-n	spa:lemma	sombrero	
04259630-n	spa:lemma	de	
04259630-n	spa:lemma	charro	
04259771-n	spa:lemma	sónar	
04262969-n	spa:lemma	banda	
04262969-n	spa:lemma	sonora	
04263502-n	spa:lemma	cuchara	
04263502-n	spa:lemma	sopera	
04263614-n	spa:lemma	fuente	
04264233-n	spa:lemma	sotana	
04264914-n	spa:lemma	nave	
04264914-n	spa:lemma	espacial	
04264914-n	spa:lemma	astronave	
04265668-n	spa:lemma	sonda	
04265668-n	spa:lemma	espacial	
04266014-n	spa:lemma	transbordador	
04266014-n	spa:lemma	espacial	
04266162-n	spa:lemma	estación	
04266162-n	spa:lemma	espacial	
04266486-n	spa:lemma	pala	
04266486-n	spa:lemma	azada	
04266660-n	spa:lemma	pica	
04267870-n	spa:lemma	pieza	
04267870-n	spa:lemma	de	
04267870-n	spa:lemma	repuesto	
04267870-n	spa:lemma	pieza	
04267870-n	spa:lemma	de	
04267870-n	spa:lemma	recambio	
04267870-n	spa:lemma	repuesto	
04268969-n	spa:lemma	bengala	
04269270-n	spa:lemma	bujía	
04269822-n	spa:lemma	polaina	
04269944-n	spa:lemma	espátula	
04270891-n	spa:lemma	lanza	
04271148-n	spa:lemma	arpón	
04271371-n	spa:lemma	punta	
04271371-n	spa:lemma	lanza	
04273285-n	spa:lemma	espéculo	
04273796-n	spa:lemma	velocímetro	
04274686-n	spa:lemma	esferómetro	
04274807-n	spa:lemma	esfinge	
04274985-n	spa:lemma	esfigmomanómetro	
04277352-n	spa:lemma	huso	
04277980-n	spa:lemma	lomo	
04278353-n	spa:lemma	espineta	
04279462-n	spa:lemma	rueca	
04281260-n	spa:lemma	escupidera	
04282494-n	spa:lemma	tablilla	
04283378-n	spa:lemma	rayo	
04284002-n	spa:lemma	cuchara	
04285008-n	spa:lemma	automóvil	
04285008-n	spa:lemma	deportivo	
04285008-n	spa:lemma	coche	
04285008-n	spa:lemma	deportivo	
04287610-n	spa:lemma	ramito	
04288272-n	spa:lemma	resorte	
04288272-n	spa:lemma	muelle	
04290259-n	spa:lemma	espuela	
04290615-n	spa:lemma	sputnik	
04292921-n	spa:lemma	secador	
04293744-n	spa:lemma	trompa	
04294879-n	spa:lemma	establo	
04294879-n	spa:lemma	caballeriza	
04295881-n	spa:lemma	estadio	
04296562-n	spa:lemma	escenario	
04296562-n	spa:lemma	escena	
04297098-n	spa:lemma	calesa	
04297098-n	spa:lemma	diligencia	
04298308-n	spa:lemma	escalera	
04298765-n	spa:lemma	estaca	
04299215-n	spa:lemma	puesto	
04300643-n	spa:lemma	puntal	
04301140-n	spa:lemma	estandarte	
04303095-n	spa:lemma	corchete	
04303672-n	spa:lemma	estribor	
04306080-n	spa:lemma	estación	
04306847-n	spa:lemma	estatua	
04307106-n	spa:lemma	estatua	
04307106-n	spa:lemma	de	
04307106-n	spa:lemma	la	
04307106-n	spa:lemma	Libertad	
04309049-n	spa:lemma	máquina	
04309049-n	spa:lemma	de	
04309049-n	spa:lemma	vapor	
04309348-n	spa:lemma	barco	
04309348-n	spa:lemma	de	
04309348-n	spa:lemma	vapor	
04310018-n	spa:lemma	locomotora	
04310018-n	spa:lemma	de	
04310018-n	spa:lemma	vapor	
04310157-n	spa:lemma	apisonadora	
04310157-n	spa:lemma	aplanadora	
04311595-n	spa:lemma	acería	
04311595-n	spa:lemma	acerería	
04312432-n	spa:lemma	chapitel	
04313503-n	spa:lemma	volante	
04313503-n	spa:lemma	cabrilla	
04313503-n	spa:lemma	guía	
04313503-n	spa:lemma	manubrio	
04313503-n	spa:lemma	timón	
04314216-n	spa:lemma	estarcido	
04314914-n	spa:lemma	peldaño	
04315599-n	spa:lemma	escalerilla	
04316646-n	spa:lemma	popa	
04317175-n	spa:lemma	estetoscopio	
04317420-n	spa:lemma	palo	
04317976-n	spa:lemma	palanca	
04317976-n	spa:lemma	de	
04317976-n	spa:lemma	mando	
04318131-n	spa:lemma	palo	
04318131-n	spa:lemma	de	
04318131-n	spa:lemma	hockey	
04318982-n	spa:lemma	alambique	
04318982-n	spa:lemma	alquitara	
04319248-n	spa:lemma	instantánea	
04319432-n	spa:lemma	bodegón	
04319937-n	spa:lemma	pilote	
04320126-n	spa:lemma	estimulante	
04320973-n	spa:lemma	estribo	
04321238-n	spa:lemma	punto	
04323026-n	spa:lemma	bolsa	
04323026-n	spa:lemma	mercado	
04323026-n	spa:lemma	de	
04323026-n	spa:lemma	valores	
04323819-n	spa:lemma	media	
04325704-n	spa:lemma	estola	
04326896-n	spa:lemma	taburete	
04326896-n	spa:lemma	silla	
04327204-n	spa:lemma	porche	
04327204-n	spa:lemma	zaguán	
04327682-n	spa:lemma	llave	
04327682-n	spa:lemma	de	
04327682-n	spa:lemma	cierre	
04328186-n	spa:lemma	cronómetro	
04329190-n	spa:lemma	depósito	
04329477-n	spa:lemma	almacén	
04329477-n	spa:lemma	bodega	
04329681-n	spa:lemma	sótano	
04329681-n	spa:lemma	para	
04329681-n	spa:lemma	tormentas	
04330267-n	spa:lemma	estufa	
04330267-n	spa:lemma	cocina	
04330340-n	spa:lemma	hornillo	
04330340-n	spa:lemma	estufa	
04332580-n	spa:lemma	camisa	
04332580-n	spa:lemma	de	
04332580-n	spa:lemma	fuerza	
04334232-n	spa:lemma	absorbente	
04334232-n	spa:lemma	bombilla	
04334232-n	spa:lemma	calimete	
04334232-n	spa:lemma	caña	
04334232-n	spa:lemma	cañita	
04334232-n	spa:lemma	carrizo	
04334232-n	spa:lemma	pajilla	
04334232-n	spa:lemma	pajita	
04334232-n	spa:lemma	pitillo	
04334232-n	spa:lemma	popote	
04334232-n	spa:lemma	sorbete	
04334232-n	spa:lemma	sorbeto	
04334599-n	spa:lemma	calle	
04335435-n	spa:lemma	tranvía	
04335886-n	spa:lemma	alumbrado	
04335886-n	spa:lemma	público	
04335886-n	spa:lemma	farol	
04338517-n	spa:lemma	instrumento	
04338517-n	spa:lemma	de	
04338517-n	spa:lemma	cuerda	
04343148-n	spa:lemma	tornapunta	
04343148-n	spa:lemma	puntal	
04344246-n	spa:lemma	estudio	
04344544-n	spa:lemma	estudio	
04345028-n	spa:lemma	estudio	
04345288-n	spa:lemma	cosas	
04346003-n	spa:lemma	estaca	
04346428-n	spa:lemma	pocilga	
04346428-n	spa:lemma	chiquero	
04346511-n	spa:lemma	estilo	
04346679-n	spa:lemma	aguja	
04347519-n	spa:lemma	pistola	
04347519-n	spa:lemma	ametralladora	
04347754-n	spa:lemma	submarino	
04350581-n	spa:lemma	azucarero	
04350905-n	spa:lemma	traje	
04350905-n	spa:lemma	terno	
04350905-n	spa:lemma	vestido	
04350905-n	spa:lemma	flux	
04350905-n	spa:lemma	tacuche	
04355338-n	spa:lemma	reloj	
04355338-n	spa:lemma	solar	
04355338-n	spa:lemma	reloj	
04355338-n	spa:lemma	de	
04355338-n	spa:lemma	sol	
04356056-n	spa:lemma	gafas	
04356056-n	spa:lemma	de	
04356056-n	spa:lemma	sol	
04357121-n	spa:lemma	quemacocos	
04357121-n	spa:lemma	techo	
04357121-n	spa:lemma	solar	
04357314-n	spa:lemma	protector	
04357314-n	spa:lemma	solar	
04358707-n	spa:lemma	supermercado	
04358874-n	spa:lemma	superestructura	
04359589-n	spa:lemma	soporte	
04361381-n	spa:lemma	supositorio	
04361381-n	spa:lemma	cala	
04363559-n	spa:lemma	tabla	
04363559-n	spa:lemma	hawaiana	
04367205-n	spa:lemma	sutura	
04368496-n	spa:lemma	frac	
04370456-n	spa:lemma	sudadera	
04370456-n	spa:lemma	buzo	
04370456-n	spa:lemma	chompa	
04370456-n	spa:lemma	polerón	
04370456-n	spa:lemma	sudador	
04370456-n	spa:lemma	chándal	
04371225-n	spa:lemma	piscina	
04371225-n	spa:lemma	alberca	
04371225-n	spa:lemma	pileta	
04371225-n	spa:lemma	de	
04371225-n	spa:lemma	natación	
04371430-n	spa:lemma	bañador	
04371430-n	spa:lemma	taparrabos	
04371563-n	spa:lemma	traje	
04371563-n	spa:lemma	de	
04371563-n	spa:lemma	baño	
04371563-n	spa:lemma	bañador	
04371563-n	spa:lemma	calzón	
04371563-n	spa:lemma	de	
04371563-n	spa:lemma	baño	
04371563-n	spa:lemma	calzonera	
04371563-n	spa:lemma	calzoneta	
04371563-n	spa:lemma	calzoneta	
04371563-n	spa:lemma	de	
04371563-n	spa:lemma	baño	
04371563-n	spa:lemma	malla	
04371563-n	spa:lemma	de	
04371563-n	spa:lemma	baño	
04371563-n	spa:lemma	ropa	
04371563-n	spa:lemma	de	
04371563-n	spa:lemma	baño	
04371563-n	spa:lemma	terno	
04371563-n	spa:lemma	de	
04371563-n	spa:lemma	baño	
04371563-n	spa:lemma	trusa	
04371563-n	spa:lemma	vestido	
04371563-n	spa:lemma	de	
04371563-n	spa:lemma	baño	
04372171-n	spa:lemma	latigazo	
04372370-n	spa:lemma	interruptor	
04372756-n	spa:lemma	aguja	
04373894-n	spa:lemma	espada	
04374735-n	spa:lemma	tabernáculo	
04374735-n	spa:lemma	sinagoga	
04376876-n	spa:lemma	jeringa	
04377057-n	spa:lemma	sistema	
04379243-n	spa:lemma	mesa	
04380143-n	spa:lemma	mantel	
04381073-n	spa:lemma	cuchara	
04381073-n	spa:lemma	de	
04381073-n	spa:lemma	sopa	
04381073-n	spa:lemma	cuchara	
04381994-n	spa:lemma	vajillas	
04381994-n	spa:lemma	cubiertos	
04382334-n	spa:lemma	tamboril	
04382438-n	spa:lemma	taburete	
04383130-n	spa:lemma	tachuela	
04383839-n	spa:lemma	tafetán	
04383839-n	spa:lemma	tafeta	
04384593-n	spa:lemma	puerta	
04384593-n	spa:lemma	trasera	
04384910-n	spa:lemma	luz	
04384910-n	spa:lemma	trasera	
04384910-n	spa:lemma	calavera	
04385536-n	spa:lemma	tubo	
04385536-n	spa:lemma	de	
04385536-n	spa:lemma	escape	
04386792-n	spa:lemma	talco	
04386792-n	spa:lemma	polvos	
04386792-n	spa:lemma	de	
04386792-n	spa:lemma	talco	
04387400-n	spa:lemma	pandereta	
04387400-n	spa:lemma	pandero	
04388162-n	spa:lemma	tampón	
04388473-n	spa:lemma	horno	
04388473-n	spa:lemma	de	
04388473-n	spa:lemma	barro	
04389033-n	spa:lemma	tanque	
04389430-n	spa:lemma	jarra	
04390759-n	spa:lemma	curtiduría	
04390759-n	spa:lemma	tenería	
04391838-n	spa:lemma	cinta	
04392113-n	spa:lemma	cinta	
04392113-n	spa:lemma	métrica	
04393095-n	spa:lemma	grabadora	
04393404-n	spa:lemma	tapiz	
04394031-n	spa:lemma	tara	
04394630-n	spa:lemma	asfalto	
04395201-n	spa:lemma	borla	
04395651-n	spa:lemma	tatuaje	
04395875-n	spa:lemma	taberna	
04397768-n	spa:lemma	tetera	
04398044-n	spa:lemma	tetera	
04398497-n	spa:lemma	casa	
04398497-n	spa:lemma	de	
04398497-n	spa:lemma	té	
04398688-n	spa:lemma	cucharilla	
04399382-n	spa:lemma	osito	
04399382-n	spa:lemma	de	
04399382-n	spa:lemma	peluche	
04400499-n	spa:lemma	telégrafo	
04401088-n	spa:lemma	teléfono	
04401680-n	spa:lemma	cabina	
04401680-n	spa:lemma	telefónica	
04402057-n	spa:lemma	línea	
04403638-n	spa:lemma	telescopio	
04404997-n	spa:lemma	videocámara	
04405907-n	spa:lemma	televisor	
04405907-n	spa:lemma	tele	
04405907-n	spa:lemma	caja	
04405907-n	spa:lemma	idiota	
04406350-n	spa:lemma	estación	
04406350-n	spa:lemma	de	
04406350-n	spa:lemma	televisión	
04407435-n	spa:lemma	templo	
04409515-n	spa:lemma	bola	
04409515-n	spa:lemma	de	
04409515-n	spa:lemma	tenis	
04409712-n	spa:lemma	cancha	
04409712-n	spa:lemma	de	
04409712-n	spa:lemma	tenis	
04412416-n	spa:lemma	tipi	
04413969-n	spa:lemma	chalé	
04413969-n	spa:lemma	adosado	
04415921-n	spa:lemma	tubo	
04415921-n	spa:lemma	de	
04415921-n	spa:lemma	ensayo	
04416785-n	spa:lemma	tetrahidrocannabinol	
04417809-n	spa:lemma	teatro	
04421872-n	spa:lemma	termómetro	
04422727-n	spa:lemma	termo	
04423845-n	spa:lemma	dedal	
04424418-n	spa:lemma	cosa	
04426788-n	spa:lemma	hilo	
04426788-n	spa:lemma	hilado	
04427715-n	spa:lemma	terno	
04428382-n	spa:lemma	era	
04428763-n	spa:lemma	cuello	
04429376-n	spa:lemma	trono	
04431745-n	spa:lemma	chinche	
04431745-n	spa:lemma	chicheta	
04433585-n	spa:lemma	durmiente	
04434932-n	spa:lemma	malla	
04435180-n	spa:lemma	azulejo	
04435180-n	spa:lemma	alicatado	
04435180-n	spa:lemma	baldosa	
04435180-n	spa:lemma	teja	
04436832-n	spa:lemma	bomba	
04436832-n	spa:lemma	de	
04436832-n	spa:lemma	relojería	
04437793-n	spa:lemma	máquina	
04437793-n	spa:lemma	del	
04437793-n	spa:lemma	tiempo	
04438304-n	spa:lemma	temporizador	
04438742-n	spa:lemma	timolol	
04439712-n	spa:lemma	papel	
04439712-n	spa:lemma	de	
04439712-n	spa:lemma	estaño	
04440749-n	spa:lemma	neumático	
04440749-n	spa:lemma	caucho	
04440749-n	spa:lemma	cubierta	
04440749-n	spa:lemma	goma	
04440749-n	spa:lemma	llanta	
04440749-n	spa:lemma	rueda	
04440963-n	spa:lemma	cadenas	
04440963-n	spa:lemma	de	
04440963-n	spa:lemma	nieve	
04442312-n	spa:lemma	tostadora	
04442831-n	spa:lemma	tabaco	
04445040-n	spa:lemma	toga	
04445952-n	spa:lemma	conmutador	
04446521-n	spa:lemma	inodoro	
04446521-n	spa:lemma	excusado	
04446521-n	spa:lemma	retrete	
04449966-n	spa:lemma	tomahawk	
04451818-n	spa:lemma	herramienta	
04451818-n	spa:lemma	utensilio	
04452615-n	spa:lemma	caja	
04452615-n	spa:lemma	de	
04452615-n	spa:lemma	instrumento	
04452848-n	spa:lemma	diente	
04453156-n	spa:lemma	cepillo	
04453156-n	spa:lemma	de	
04453156-n	spa:lemma	dientes	
04453156-n	spa:lemma	escobilla	
04453156-n	spa:lemma	de	
04453156-n	spa:lemma	dientes	
04453298-n	spa:lemma	crema	
04453298-n	spa:lemma	dental	
04453298-n	spa:lemma	pasta	
04453298-n	spa:lemma	de	
04453298-n	spa:lemma	dientes	
04453298-n	spa:lemma	dentífrico	
04453390-n	spa:lemma	palillo	
04453390-n	spa:lemma	escarbadientes	
04453910-n	spa:lemma	tapa	
04453910-n	spa:lemma	cubierta	
04453910-n	spa:lemma	tapadera	
04454240-n	spa:lemma	trompo	
04454240-n	spa:lemma	pirinola	
04454240-n	spa:lemma	peonza	
04454540-n	spa:lemma	cofa	
04455652-n	spa:lemma	gavia	
04456115-n	spa:lemma	antorcha	
04456472-n	spa:lemma	torpedo	
04458409-n	spa:lemma	tótem	
04458843-n	spa:lemma	pantalla	
04458843-n	spa:lemma	táctil	
04459018-n	spa:lemma	peluca	
04459018-n	spa:lemma	de	
04459018-n	spa:lemma	hombre	
04459362-n	spa:lemma	toalla	
04460130-n	spa:lemma	torre	
04460634-n	spa:lemma	Torre	
04460634-n	spa:lemma	de	
04460634-n	spa:lemma	Babel	
04461437-n	spa:lemma	ayuntamiento	
04461696-n	spa:lemma	grúa	
04461696-n	spa:lemma	remolque	
04463679-n	spa:lemma	carril	
04463679-n	spa:lemma	carrilera	
04463983-n	spa:lemma	vía	
04464211-n	spa:lemma	pista	
04465501-n	spa:lemma	tractor	
04465933-n	spa:lemma	rotonda	
04465933-n	spa:lemma	glorieta	
04465933-n	spa:lemma	redondel	
04468005-n	spa:lemma	tren	
04471315-n	spa:lemma	transformador	
04471632-n	spa:lemma	transistor	
04472243-n	spa:lemma	caja	
04472243-n	spa:lemma	de	
04472243-n	spa:lemma	cambios	
04473275-n	spa:lemma	transpondedor	
04473275-n	spa:lemma	transponder	
04473432-n	spa:lemma	transporte	
04474466-n	spa:lemma	trampa	
04474466-n	spa:lemma	cepo	
04475749-n	spa:lemma	red	
04475749-n	spa:lemma	barredera	
04476116-n	spa:lemma	jábega	
04478889-n	spa:lemma	trinchera	
04480853-n	spa:lemma	triángulo	
04481796-n	spa:lemma	tricolor	
04482393-n	spa:lemma	triciclo	
04482975-n	spa:lemma	tridente	
04483307-n	spa:lemma	trimarán	
04485082-n	spa:lemma	trípode	
04485423-n	spa:lemma	tríptico	
04486054-n	spa:lemma	arco	
04486054-n	spa:lemma	de	
04486054-n	spa:lemma	triunfo	
04486445-n	spa:lemma	anécdota	
04487394-n	spa:lemma	trombón	
04487996-n	spa:lemma	trofeo	
04489695-n	spa:lemma	ajuar	
04490091-n	spa:lemma	camión	
04490091-n	spa:lemma	camioneta	
04491135-n	spa:lemma	pinte	
04491135-n	spa:lemma	triunfo	
04491769-n	spa:lemma	baúl	
04493381-n	spa:lemma	cuba	
04493381-n	spa:lemma	tina	
04493505-n	spa:lemma	tubo	
04495843-n	spa:lemma	remolcador	
04497801-n	spa:lemma	diapasón	
04497962-n	spa:lemma	túnel	
04498389-n	spa:lemma	turbante	
04498523-n	spa:lemma	turbina	
04499180-n	spa:lemma	máquina	
04499180-n	spa:lemma	de	
04499180-n	spa:lemma	Turing	
04499300-n	spa:lemma	baño	
04499300-n	spa:lemma	turco	
04505036-n	spa:lemma	máquina	
04505036-n	spa:lemma	de	
04505036-n	spa:lemma	escribir	
04506289-n	spa:lemma	ukelele	
04507155-n	spa:lemma	parasol	
04507155-n	spa:lemma	paraguas	
04507155-n	spa:lemma	sombrilla	
04508489-n	spa:lemma	trusa	
04508804-n	spa:lemma	paso	
04508804-n	spa:lemma	inferior	
04509592-n	spa:lemma	uniforme	
04511002-n	spa:lemma	universidad	
04515991-n	spa:lemma	urinario	
04515991-n	spa:lemma	mingitorio	
04517535-n	spa:lemma	vacuna	
04517823-n	spa:lemma	aspiradora	
04519153-n	spa:lemma	válvula	
04519153-n	spa:lemma	llave	
04520962-n	spa:lemma	vaporizador	
04522168-n	spa:lemma	jarrón	
04522168-n	spa:lemma	florero	
04522904-n	spa:lemma	vasodilatador	
04523525-n	spa:lemma	bóveda	
04523690-n	spa:lemma	bóveda	
04523690-n	spa:lemma	cripta	
04524313-n	spa:lemma	vehículo	
04525038-n	spa:lemma	terciopelo	
04525305-n	spa:lemma	máquina	
04525305-n	spa:lemma	expendedora	
04525417-n	spa:lemma	barniz	
04525584-n	spa:lemma	persiana	
04527648-n	spa:lemma	porche	
04527648-n	spa:lemma	galería	
04528079-n	spa:lemma	cardenillo	
04528968-n	spa:lemma	calibre	
04528968-n	spa:lemma	calibrador	
04528968-n	spa:lemma	vernier	
04530566-n	spa:lemma	embarcación	
04530566-n	spa:lemma	barco	
04530566-n	spa:lemma	vaso	
04530566-n	spa:lemma	casco	
04531098-n	spa:lemma	recipiente	
04531098-n	spa:lemma	receptáculo	
04531098-n	spa:lemma	vaso	
04531098-n	spa:lemma	vasija	
04531098-n	spa:lemma	recinto	
04532504-n	spa:lemma	sacristía	
04532670-n	spa:lemma	viaducto	
04532831-n	spa:lemma	vibráfono	
04533042-n	spa:lemma	vibrador	
04533700-n	spa:lemma	videocasete	
04534359-n	spa:lemma	video	
04535252-n	spa:lemma	villa	
04536038-n	spa:lemma	viñedo	
04536038-n	spa:lemma	viña	
04536866-n	spa:lemma	violín	
04538249-n	spa:lemma	viscosímetro	
04538552-n	spa:lemma	torno	
04541987-n	spa:lemma	urna	
04541987-n	spa:lemma	electoral	
04542943-n	spa:lemma	gofrera	
04543996-n	spa:lemma	revestimiento	
04544626-n	spa:lemma	tablaestela	
04544626-n	spa:lemma	wakeboarding	
04544979-n	spa:lemma	paseo	
04544979-n	spa:lemma	pasarela	
04546194-n	spa:lemma	bastón	
04546855-n	spa:lemma	muro	
04546855-n	spa:lemma	muralla	
04548362-n	spa:lemma	cartera	
04548362-n	spa:lemma	billetera	
04548771-n	spa:lemma	enchufe	
04549919-n	spa:lemma	sala	
04550184-n	spa:lemma	armario	
04550184-n	spa:lemma	ropero	
04550184-n	spa:lemma	clóset	
04550184-n	spa:lemma	escaparate	
04550184-n	spa:lemma	empotrado	
04550184-n	spa:lemma	placard	
04551055-n	spa:lemma	almacén	
04551055-n	spa:lemma	depósito	
04551833-n	spa:lemma	mundillo	
04551950-n	spa:lemma	urdimbre	
04552696-n	spa:lemma	buque	
04552696-n	spa:lemma	de	
04552696-n	spa:lemma	guerra	
04553920-n	spa:lemma	lavabo	
04554684-n	spa:lemma	lavadora	
04554684-n	spa:lemma	lavarropas	
04554684-n	spa:lemma	lavavajillas	
04554871-n	spa:lemma	arandela	
04554871-n	spa:lemma	zapata	
04555897-n	spa:lemma	reloj	
04556948-n	spa:lemma	atalaya	
04557872-n	spa:lemma	cañón	
04557872-n	spa:lemma	de	
04557872-n	spa:lemma	agua	
04558347-n	spa:lemma	clepsidra	
04558578-n	spa:lemma	acuarela	
04558804-n	spa:lemma	acuarela	
04560292-n	spa:lemma	regadera	
04561287-n	spa:lemma	medidor	
04561287-n	spa:lemma	de	
04561287-n	spa:lemma	agua	
04562935-n	spa:lemma	torre	
04562935-n	spa:lemma	de	
04562935-n	spa:lemma	agua	
04564698-n	spa:lemma	camino	
04564698-n	spa:lemma	vía	
04565375-n	spa:lemma	arma	
04565963-n	spa:lemma	arma	
04565963-n	spa:lemma	de	
04565963-n	spa:lemma	destrucción	
04565963-n	spa:lemma	masiva	
04566257-n	spa:lemma	armas	
04566257-n	spa:lemma	armamento	
04568069-n	spa:lemma	veleta	
04569063-n	spa:lemma	cámara	
04569063-n	spa:lemma	web	
04569338-n	spa:lemma	alianza	
04569983-n	spa:lemma	zapatos	
04569983-n	spa:lemma	de	
04569983-n	spa:lemma	cuña	
04571088-n	spa:lemma	peso	
04574471-n	spa:lemma	ballenero	
04574999-n	spa:lemma	rueda	
04576002-n	spa:lemma	silla	
04576002-n	spa:lemma	de	
04576002-n	spa:lemma	ruedas	
04577426-n	spa:lemma	muela	
04577426-n	spa:lemma	piedra	
04577426-n	spa:lemma	de	
04577426-n	spa:lemma	afilar	
04577769-n	spa:lemma	fusta	
04577769-n	spa:lemma	látigo	
04579667-n	spa:lemma	chifle	
04579667-n	spa:lemma	pito	
04579667-n	spa:lemma	silbato	
04580777-n	spa:lemma	Casa	
04580777-n	spa:lemma	Blanca	
04581595-n	spa:lemma	mancebía	
04581595-n	spa:lemma	casa	
04581595-n	spa:lemma	de	
04581595-n	spa:lemma	putas	
04581829-n	spa:lemma	mecha	
04584207-n	spa:lemma	peluca	
04584512-n	spa:lemma	comodín	
04586932-n	spa:lemma	instrumento	
04586932-n	spa:lemma	de	
04586932-n	spa:lemma	viento	
04586932-n	spa:lemma	aerófono	
04587404-n	spa:lemma	molino	
04587404-n	spa:lemma	de	
04587404-n	spa:lemma	viento	
04587559-n	spa:lemma	molino	
04587559-n	spa:lemma	de	
04587559-n	spa:lemma	viento	
04587648-n	spa:lemma	ventana	
04588739-n	spa:lemma	ventana	
04590263-n	spa:lemma	alféizar	
04590553-n	spa:lemma	parabrisas	
04590746-n	spa:lemma	limpiaparabrisas	
04591517-n	spa:lemma	aerogenerador	
04592465-n	spa:lemma	bodega	
04592596-n	spa:lemma	bota	
04592741-n	spa:lemma	ala	
04596742-n	spa:lemma	wok	
04599124-n	spa:lemma	bafle	
04599235-n	spa:lemma	lana	
04599396-n	spa:lemma	obra	
04601690-n	spa:lemma	obra	
04601690-n	spa:lemma	de	
04601690-n	spa:lemma	arte	
04602044-n	spa:lemma	trabajo	
04603081-n	spa:lemma	taller	
04604513-n	spa:lemma	guirnalda	
04605163-n	spa:lemma	gabardina	
04605163-n	spa:lemma	sarga	
04605321-n	spa:lemma	estambre	
04605726-n	spa:lemma	envoltura	
04605726-n	spa:lemma	envoltorio	
04606014-n	spa:lemma	guirnalda	
04606574-n	spa:lemma	llave	
04606574-n	spa:lemma	inglesa	
04606574-n	spa:lemma	llave	
04606574-n	spa:lemma	llave	
04606574-n	spa:lemma	de	
04606574-n	spa:lemma	tuerca	
04607869-n	spa:lemma	reloj	
04607869-n	spa:lemma	de	
04607869-n	spa:lemma	pulsera	
04607869-n	spa:lemma	reloj	
04610013-n	spa:lemma	yate	
04610879-n	spa:lemma	patio	
04612026-n	spa:lemma	kipá	
04612159-n	spa:lemma	nicab	
04612373-n	spa:lemma	yola	
04612840-n	spa:lemma	yugo	
04613555-n	spa:lemma	yo-yo	
04613555-n	spa:lemma	yoyó	
04613696-n	spa:lemma	yurta	
04614372-n	spa:lemma	dirigible	
04614372-n	spa:lemma	zepelín	
04614655-n	spa:lemma	zigurat	
04615226-n	spa:lemma	cítara	
04616059-n	spa:lemma	rasgo	
04616059-n	spa:lemma	característica	
04617562-n	spa:lemma	personalidad	
04621314-n	spa:lemma	espiritualidad	
04622932-n	spa:lemma	intimidad	
04625284-n	spa:lemma	agitación	
04625284-n	spa:lemma	desasosiego	
04625284-n	spa:lemma	desazón	
04625284-n	spa:lemma	inquietud	
04629604-n	spa:lemma	frialdad	
04632157-n	spa:lemma	vida	
04635010-n	spa:lemma	inanición	
04637722-n	spa:lemma	perfeccionismo	
04639732-n	spa:lemma	severidad	
04640356-n	spa:lemma	buena	
04640356-n	spa:lemma	voluntad	
04640538-n	spa:lemma	paciencia	
04647478-n	spa:lemma	gravedad	
04648207-n	spa:lemma	frivolidad	
04651195-n	spa:lemma	elocuencia	
04651195-n	spa:lemma	fluidez	
04651382-n	spa:lemma	locuacidad	
04651382-n	spa:lemma	garrulidad	
04652177-n	spa:lemma	secreto	
04653627-n	spa:lemma	camaradería	
04654652-n	spa:lemma	bonhomía	
04655442-n	spa:lemma	intimidad	
04658106-n	spa:lemma	hostilidad	
04659090-n	spa:lemma	adaptabilidad	
04659090-n	spa:lemma	flexibilidad	
04660261-n	spa:lemma	inflexibilidad	
