wiktionary-cldr-merge	spa	http://wiktionary.org/	CC BY-SA
00131426-a	spa:lemma	posterior	
00132385-a	spa:lemma	ventral	
00132754-a	spa:lemma	dorsoventral	
00133417-a	spa:lemma	apetitoso	
00133417-a	spa:lemma	apetecible	
00135455-a	spa:lemma	adecuado	
00135455-a	spa:lemma	adecuada	
00135718-a	spa:lemma	inapropiado	
00137641-a	spa:lemma	indebido	
00137641-a	spa:lemma	no	
00137641-a	spa:lemma	debido	
00137725-a	spa:lemma	salir	
00137725-a	spa:lemma	de	
00137725-a	spa:lemma	cuentas	
00138169-a	spa:lemma	pertinente	
00138169-a	spa:lemma	oportuno	
00138314-a	spa:lemma	apropiado	
00138314-a	spa:lemma	pertinente	
00139492-a	spa:lemma	anfipróstilo	
00141818-a	spa:lemma	arbóreo	
00142040-a	spa:lemma	arenoso	
00143376-a	spa:lemma	indefenso	
00143516-a	spa:lemma	armas	
00146210-a	spa:lemma	armado	
00147160-a	spa:lemma	escamoso	
00147734-a	spa:lemma	astuto	
00147734-a	spa:lemma	taimado	
00147734-a	spa:lemma	ladino	
00147734-a	spa:lemma	artero	
00148078-a	spa:lemma	astuto	
00151855-a	spa:lemma	mudo	
00153898-a	spa:lemma	avergonzado	
00153898-a	spa:lemma	abochornado	
00153898-a	spa:lemma	apenado	
00154583-a	spa:lemma	culpable	
00156101-a	spa:lemma	firme	
00157389-a	spa:lemma	asociativo	
00159498-a	spa:lemma	sésil	
00159975-a	spa:lemma	sésil	
00160768-a	spa:lemma	separado	
00162386-a	spa:lemma	cauteloso	
00163948-a	spa:lemma	absorto	
00163948-a	spa:lemma	ensimismado	
00165943-a	spa:lemma	olvidadizo	
00166146-a	spa:lemma	atractivo	
00167077-a	spa:lemma	carismático	
00168820-a	spa:lemma	fotogénico	
00169955-a	spa:lemma	atractivo	
00171590-a	spa:lemma	atribuible	
00171590-a	spa:lemma	imputable	
00171872-a	spa:lemma	imputable	
00173220-a	spa:lemma	embarazada	
00173220-a	spa:lemma	embarazado	
00173220-a	spa:lemma	preñada	
00173220-a	spa:lemma	preñado	
00173220-a	spa:lemma	encinta	
00173764-a	spa:lemma	oíble	
00173764-a	spa:lemma	audible	
00174150-a	spa:lemma	sónico	
00174719-a	spa:lemma	mudo	
00175300-a	spa:lemma	ultrasónico	
00175435-a	spa:lemma	inaudito	
00176150-a	spa:lemma	prometedor	
00176150-a	spa:lemma	propicio	
00176387-a	spa:lemma	prometedor	
00176387-a	spa:lemma	prometedora	
00178126-a	spa:lemma	ominoso	
00178126-a	spa:lemma	ominosa	
00180211-a	spa:lemma	inconstitucional	
00180496-a	spa:lemma	alóctono	
00181476-a	spa:lemma	automático	
00183053-a	spa:lemma	disponible	
00185921-a	spa:lemma	inasequible	
00185921-a	spa:lemma	inaccesible	
00186616-a	spa:lemma	despierto	
00189017-a	spa:lemma	cansado	
00189017-a	spa:lemma	adormecido	
00189017-a	spa:lemma	sueño	
00189017-a	spa:lemma	soñoliento	
00189580-a	spa:lemma	astriugente	
00190115-a	spa:lemma	consciente	
00190653-a	spa:lemma	listo	
00190653-a	spa:lemma	despierto	
00191265-a	spa:lemma	razonable	
00191265-a	spa:lemma	sensato	
00191603-a	spa:lemma	inconsciente	
00191603-a	spa:lemma	desprevenido	
00193480-a	spa:lemma	atroz	
00193480-a	spa:lemma	horrible	
00193480-a	spa:lemma	horrendo	
00193799-a	spa:lemma	horrible	
00193799-a	spa:lemma	espantoso	
00193799-a	spa:lemma	terrible	
00193799-a	spa:lemma	tremendo	
00193799-a	spa:lemma	Maligno	
00193799-a	spa:lemma	temido	
00194357-a	spa:lemma	funesto	
00194357-a	spa:lemma	amenazador	
00195191-a	spa:lemma	espeluznante	
00195684-a	spa:lemma	macabro	
00195684-a	spa:lemma	funesto	
00195684-a	spa:lemma	siniestro	
00195684-a	spa:lemma	horroroso	
00195684-a	spa:lemma	horrendo	
00195684-a	spa:lemma	fúnebre	
00195684-a	spa:lemma	lúgubre	
00195684-a	spa:lemma	repugnante	
00195684-a	spa:lemma	horripilante	
00197319-a	spa:lemma	consolador	
00197319-a	spa:lemma	reconfortante	
00202095-a	spa:lemma	inverso	
00205295-a	spa:lemma	insolente	
00205295-a	spa:lemma	descarado	
00205295-a	spa:lemma	fresco	
00205295-a	spa:lemma	impudente	
00205696-a	spa:lemma	presuntuoso	
00209620-a	spa:lemma	herboso	
00210446-a	spa:lemma	pelado	
00210446-a	spa:lemma	desvellado	
00210446-a	spa:lemma	calvo	
00210446-a	spa:lemma	descuerado	
00210848-a	spa:lemma	calvo	
00212173-a	spa:lemma	peludo	
00212173-a	spa:lemma	velludo	
00217075-a	spa:lemma	barbudo	
00217075-a	spa:lemma	barbado	
00217728-a	spa:lemma	hermoso	
00217728-a	spa:lemma	bello	
00217728-a	spa:lemma	lindo	
00217728-a	spa:lemma	guapo	
00217728-a	spa:lemma	bonito	
00218440-a	spa:lemma	lindo	
00218950-a	spa:lemma	apuesto	
00218950-a	spa:lemma	guapo	
00219389-a	spa:lemma	glorioso	
00219705-a	spa:lemma	guapísimo	
00219924-a	spa:lemma	pintoresco	
00220082-a	spa:lemma	guapo	
00220082-a	spa:lemma	bonito	
00220082-a	spa:lemma	precioso	
00220956-a	spa:lemma	feo	
00221627-a	spa:lemma	grotesco	
00221627-a	spa:lemma	monstruoso	
00221934-a	spa:lemma	horrible	
00221934-a	spa:lemma	odioso	
00221934-a	spa:lemma	chocante	
00221934-a	spa:lemma	atemorizante	
00221934-a	spa:lemma	horrendo	
00225099-a	spa:lemma	malévolo	
00225099-a	spa:lemma	rencoroso	
00225099-a	spa:lemma	venenoso	
00225564-a	spa:lemma	malintencionado	
00225912-a	spa:lemma	malicioso	
00227507-a	spa:lemma	mejor	
00228645-a	spa:lemma	óptimo	
00230335-a	spa:lemma	mejor	
00231252-a	spa:lemma	peor	
00233263-a	spa:lemma	bicameral	
00236989-a	spa:lemma	unilateral	
00237788-a	spa:lemma	bilateral	
00238037-a	spa:lemma	bipartito	
00238400-a	spa:lemma	cuadrilátero	
00241672-a	spa:lemma	bipedal	
00242293-a	spa:lemma	afroamericano	
00243180-a	spa:lemma	caucásico	
00243395-a	spa:lemma	caucáseo	
00243606-a	spa:lemma	rubio	
00244054-a	spa:lemma	pastel	
00244410-a	spa:lemma	pelirrojo	
00247439-a	spa:lemma	sangriento	
00247439-a	spa:lemma	cruento	
00247439-a	spa:lemma	sanguinolento	
00247993-a	spa:lemma	ensangrentado	
00248251-a	spa:lemma	sanguinario	
00248560-a	spa:lemma	carmín	
00248560-a	spa:lemma	carmesí	
00248837-a	spa:lemma	asesino	
00249721-a	spa:lemma	audaz	
00249721-a	spa:lemma	intrépido	
00249721-a	spa:lemma	atrevido	
00250119-a	spa:lemma	intrépido	
00250119-a	spa:lemma	impávido	
00250119-a	spa:lemma	sin	
00250119-a	spa:lemma	miedo	
00250119-a	spa:lemma	impertérrito	
00250739-a	spa:lemma	temerario	
00251134-a	spa:lemma	heroico	
00252498-a	spa:lemma	tímido	
00259957-a	spa:lemma	proletario	
00259957-a	spa:lemma	proletaria	
00259957-a	spa:lemma	proletarios	
00259957-a	spa:lemma	proletarias	
00260780-a	spa:lemma	burgués	
00262792-a	spa:lemma	valiente	
00262792-a	spa:lemma	valeroso	
00262792-a	spa:lemma	corajudo	
00263840-a	spa:lemma	gallardo	
00263840-a	spa:lemma	valiente	
00264570-a	spa:lemma	valiente	
00264776-a	spa:lemma	vil	
00264776-a	spa:lemma	ruin	
00268869-a	spa:lemma	cristalino	
00269989-a	spa:lemma	luminoso	
00271813-a	spa:lemma	incandescente	
00271813-a	spa:lemma	candente	
00272555-a	spa:lemma	fosforescente	
00273082-a	spa:lemma	oscuro	
00275290-a	spa:lemma	tenue	
00276355-a	spa:lemma	tenebroso	
