wiktionary-cldr-merge	sme	http://wiktionary.org/	CC BY-SA
09012297-n	sme:lemma	Estlánda	
09012297-n	sme:lemma	Estteeana	
09012530-n	sme:lemma	Tallinn	
09013830-n	sme:lemma	Lietuva	
09018162-n	sme:lemma	Aserbaižan	
09034550-n	sme:lemma	Tanzánia	
09039411-n	sme:lemma	Durka	
09044862-n	sme:lemma	Amerihká	
09044862-n	sme:lemma	ovttastuvvan	
09044862-n	sme:lemma	stáhtat	
09207288-n	sme:lemma	Ásia	
09319604-n	sme:lemma	muotki	
09328904-n	sme:lemma	jávri	
09481523-n	sme:lemma	Jangze	
09502481-n	sme:lemma	stállu	
09536058-n	sme:lemma	Ipmil	
09539517-n	sme:lemma	Mikael	
09812338-n	sme:lemma	dáiddár	
09857200-n	sme:lemma	bisma	
09876454-n	sme:lemma	viellja	
09918248-n	sme:lemma	mánná	
09987239-n	sme:lemma	cára	
09992837-n	sme:lemma	nieida	
10080869-n	sme:lemma	áhčči	
10082043-n	sme:lemma	vuohppa	
10231515-n	sme:lemma	gonagas	
10282672-n	sme:lemma	biiga	
10287213-n	sme:lemma	almmái	
10332385-n	sme:lemma	eadni	
10353355-n	sme:lemma	vieljabárdni	
10353355-n	sme:lemma	oappábárdni	
10357613-n	sme:lemma	vieljanieida	
10357613-n	sme:lemma	oappánieida	
10399491-n	sme:lemma	váhnen	
10399491-n	sme:lemma	vánhen	
10523076-n	sme:lemma	dutki	
10587605-n	sme:lemma	geahčči	
10602985-n	sme:lemma	oabbá	
10624074-n	sme:lemma	bárdni	
10736091-n	sme:lemma	čeahci	
10736091-n	sme:lemma	eahki	
10736091-n	sme:lemma	eanu	
10736091-n	sme:lemma	máhka	
10818088-n	sme:lemma	Ándaras	
10887420-n	sme:lemma	Káre	
10923700-n	sme:lemma	Dávvet	
11073586-n	sme:lemma	Issát	
11078982-n	sme:lemma	Jáhkot	
11091706-n	sme:lemma	Jovsset	
11091863-n	sme:lemma	Jovsset	
11161412-n	sme:lemma	Márjá	
11164671-n	sme:lemma	Matteus	
11205797-n	sme:lemma	Niillas	
11225661-n	sme:lemma	Bávlos	
11281555-n	sme:lemma	Sárá	
11282613-n	sme:lemma	Sávlos	
11427619-n	sme:lemma	guovssahas	
11525955-n	sme:lemma	biegga	
11608250-n	sme:lemma	beahci	
11624531-n	sme:lemma	guossa	
11669335-n	sme:lemma	rássi	
12602980-n	sme:lemma	rabárber	
12647376-n	sme:lemma	ávža	
12647376-n	sme:lemma	duopma	
12653633-n	sme:lemma	veaddemuorji	
12653633-n	sme:lemma	lážžamuorji	
12657294-n	sme:lemma	luomi	
12724942-n	sme:lemma	sieđga	
12992868-n	sme:lemma	guobbarat	
13104059-n	sme:lemma	muorra	
13833886-n	sme:lemma	oarjelulli	
14855724-n	sme:lemma	cis'sa	
14855724-n	sme:lemma	gožža	
14855724-n	sme:lemma	gužža	
14915184-n	sme:lemma	jiekŋa	
15159426-n	sme:lemma	gárgádusbeaivi	
15163797-n	sme:lemma	sotnabeaivi	
15163797-n	sme:lemma	sotnabeavi	
15164105-n	sme:lemma	disdat	
15164105-n	sme:lemma	maŋŋebárga	
15164233-n	sme:lemma	gaskavahkku	
15164354-n	sme:lemma	duorastat	
15164463-n	sme:lemma	bearjadat	
15164570-n	sme:lemma	lávvadat	
15168185-n	sme:lemma	gaskaidja	
15201505-n	sme:lemma	jahki	
15210045-n	sme:lemma	ođđajagimánnu	
15210486-n	sme:lemma	guovvamánnu	
15236859-n	sme:lemma	čakča	
15237044-n	sme:lemma	giđđa	
15237250-n	sme:lemma	geassi	
15237782-n	sme:lemma	dálvi	
00257784-r	sme:lemma	golbmii	
00001740-v	sme:lemma	vuoiŋŋadit	
00834259-v	sme:lemma	gielistit	
01431230-v	sme:lemma	cum'mát	
01780202-v	sme:lemma	ballat	
02132745-v	sme:lemma	gaifát	
02614387-v	sme:lemma	eallit	
06949591-n	sme:lemma	boares	
apachešapachešapachešapacheš
06988057-n	sme:lemma	arábagiella	
06944480-n	sme:lemma	vilges-ruoššagiella	
06945569-n	sme:lemma	bulgáriagiella	
06970946-n	sme:lemma	bengalgiella	
06933931-n	sme:lemma	tibetagiella	
06961771-n	sme:lemma	bretonagiella	
06967529-n	sme:lemma	katalánagiella	
06960298-n	sme:lemma	kelttalaš	
06957287-n	sme:lemma	marigiella	
06944911-n	sme:lemma	čeahkagiella	
06961557-n	sme:lemma	kymragiella	
06954048-n	sme:lemma	dánskkagiella	
06976392-n	sme:lemma	greikkagiella	
06966825-n	sme:lemma	spánskkagiella	
06974127-n	sme:lemma	persijagiella	
06939756-n	sme:lemma	filippiinnagiella	
06938623-n	sme:lemma	fidjigiella	
06955087-n	sme:lemma	fearagiella	
06960778-n	sme:lemma	iirragiella	
06946497-n	sme:lemma	germánalaš	
06971454-n	sme:lemma	gujaratagiella	
06961221-n	sme:lemma	manksgiella	
06982697-n	sme:lemma	haussagiella	
06938493-n	sme:lemma	hawaiigiella	
06970103-n	sme:lemma	hindigiella	
06958836-n	sme:lemma	ungárgiella	
06942699-n	sme:lemma	armeenagiella	
06939198-n	sme:lemma	indonesiagiella	
06954183-n	sme:lemma	islánddagiella	
06964247-n	sme:lemma	itáliagiella	
06929279-n	sme:lemma	japánagiella	
06939431-n	sme:lemma	javagiella	
06978766-n	sme:lemma	georgiagiella	
06927128-n	sme:lemma	kazakgiella	
06937348-n	sme:lemma	kambodiagiella	
06929171-n	sme:lemma	koreagiella	
06958063-n	sme:lemma	gárjilgiella	
06974558-n	sme:lemma	kurdigiella	
06957042-n	sme:lemma	komigiella	
06961681-n	sme:lemma	kornagiella	
06962600-n	sme:lemma	láhtengiella	
06935594-n	sme:lemma	laogiella	
06946199-n	sme:lemma	liettuvagiella	
06946355-n	sme:lemma	látviagiella	
06938386-n	sme:lemma	maorigiella	
06945473-n	sme:lemma	makedoniagiella	
06928839-n	sme:lemma	mongoliagiella	
06988913-n	sme:lemma	maltagiella	
06932435-n	sme:lemma	burmagiella	
06972985-n	sme:lemma	nepaligiella	
06952572-n	sme:lemma	hollánddagiella	
06954303-n	sme:lemma	dárogiella	
06966190-n	sme:lemma	oksitánagiella	
06971605-n	sme:lemma	panjabigiella	
06944720-n	sme:lemma	polskkagiella	
06966310-n	sme:lemma	portugálagiella	
06968174-n	sme:lemma	romanšgiella	
06968343-n	sme:lemma	romániagiella	
06963951-n	sme:lemma	románalaš	
06944348-n	sme:lemma	ruoššagiella	
06964600-n	sme:lemma	sardigiella	
06960180-n	sme:lemma	selkupagiella	
06945095-n	sme:lemma	serbokroatiagiella	
06944820-n	sme:lemma	slovákiagiella	
06942252-n	sme:lemma	albánagiella	
06954925-n	sme:lemma	ruoŧagiella	
06936149-n	sme:lemma	ŧaigiella	
06926798-n	sme:lemma	durkagiella	
06938294-n	sme:lemma	tahitigiella	
06956794-n	sme:lemma	udmurtagiella	
06944623-n	sme:lemma	ukrainagiella	
06969916-n	sme:lemma	urdugiella	
06937229-n	sme:lemma	vietnamgiella	
06966070-n	sme:lemma	vallonagiella	
06930427-n	sme:lemma	kantongiella	
06929742-n	sme:lemma	kiinnágiella	
06499796-n	sme:lemma	kyrillalaš	
09189411-n	sme:lemma	Afrihkká	
09372504-n	sme:lemma	dávvi-Amerihkká	
09440400-n	sme:lemma	mátta-Amerihkká	
08835875-n	sme:lemma	Oseania	
08735705-n	sme:lemma	gaska-Amerihkká	
