wiktionary-cldr-merge	ibo	http://wiktionary.org/	CC BY-SA
15164233-n	ibo:lemma	Wen	
15164354-n	ibo:lemma	Tọọ	
15164463-n	ibo:lemma	Fraị	
15164570-n	ibo:lemma	Sat	
15163797-n	ibo:lemma	Mbọsị	
15163979-n	ibo:lemma	Mọnde	
15164105-n	ibo:lemma	Tiuzdee	
15164233-n	ibo:lemma	Wenezdee	
15164354-n	ibo:lemma	Tọọzdee	
15164463-n	ibo:lemma	Fraịdee	
15164570-n	ibo:lemma	Satọdee	
00130518-s	ibo:lemma	AM	
00130701-s	ibo:lemma	PM	
