wiktionary-cldr-merge	mal	http://wiktionary.org/	CC BY-SA
09328904-n	mal:lemma	കായല്	
09328904-n	mal:lemma	പൊയ്ക	
09328904-n	mal:lemma	സരസ്സ്	
09358226-n	mal:lemma	ഉപഗ്രഹം	
09358358-n	mal:lemma	ചന്ദ്രന്‍	
09358358-n	mal:lemma	തിങ്കള്‍	
09359803-n	mal:lemma	പര്‍വതം	
09359803-n	mal:lemma	മല	
09366940-n	mal:lemma	നീഹാരിക	
09369169-n	mal:lemma	കൂട്	
09376198-n	mal:lemma	സമുദ്രം	
09376198-n	mal:lemma	സാഗരം	
09382990-n	mal:lemma	ശാന്തസമുദ്രം	
09403427-n	mal:lemma	മഴവില്ല്	
09403427-n	mal:lemma	ഇന്ദ്രധനുസ്	
09411430-n	mal:lemma	നദി	
09426788-n	mal:lemma	കടൽ	
09436708-n	mal:lemma	ആകാശം	
09444100-n	mal:lemma	നക്ഷത്രം	
09444100-n	mal:lemma	താരം	
09450163-n	mal:lemma	സൂര്യന്‍	
09468604-n	mal:lemma	താഴ്വര	
09470762-n	mal:lemma	ശുക്രന്‍	
09481523-n	mal:lemma	യാംഗ്സ്റ്റേ	
09481523-n	mal:lemma	കിയാംഗ്	
09481523-n	mal:lemma	നദി	
09490961-n	mal:lemma	രാക്ഷസി	
09503282-n	mal:lemma	മന്ത്രവാദം	
09525961-n	mal:lemma	ഗണേശന്‍	
09526367-n	mal:lemma	ഹനുമാന്‍	
09527091-n	mal:lemma	ലക്ഷ്മി	
09529933-n	mal:lemma	വായു	
09529999-n	mal:lemma	വിഷ്ണു	
09530721-n	mal:lemma	കൃഷ്ണന്‍	
09532214-n	mal:lemma	ബുദ്ധന്‍	
09538544-n	mal:lemma	അല്ലാഹു	
09542339-n	mal:lemma	ചെകുത്താൻ	
09734294-n	mal:lemma	തായ്	
09734294-n	mal:lemma	ജനത	
09823502-n	mal:lemma	അമ്മായി	
09823502-n	mal:lemma	മേമ	
09823502-n	mal:lemma	മാമി	
09823502-n	mal:lemma	വല്യമ്മ	
09823502-n	mal:lemma	ചെറിയമ്മ	
09859152-n	mal:lemma	കൊല്ലന്‍	
09876454-n	mal:lemma	സഹോദരന്‍	
09876454-n	mal:lemma	ചേട്ടന്‍	
09876454-n	mal:lemma	അനിയന്‍	
09893191-n	mal:lemma	കപ്പിത്താന്‍	
09896685-n	mal:lemma	ആശാരി	
09918248-n	mal:lemma	കുട്ടി	
09988063-n	mal:lemma	അച്ഛന്‍	
09988063-n	mal:lemma	ബാപ്പ	
09989502-n	mal:lemma	തുളളിച്ചാടുന്നവൻ	
09992837-n	mal:lemma	പുത്രി	
10080869-n	mal:lemma	അച്ഛന്‍	
10080869-n	mal:lemma	പിതാവ്	
10081204-n	mal:lemma	പിതാവ്	
10081204-n	mal:lemma	അച്ഛന്‍	
10081204-n	mal:lemma	പള്ളിയിലച്ഛന്‍	
10084295-n	mal:lemma	പെണ്‍കുട്ടി	
10098710-n	mal:lemma	ശത്രു	
10112591-n	mal:lemma	സ്നേഹിതന്‍	
10112591-n	mal:lemma	തോഴൻ	
10130447-n	mal:lemma	പെണ്ണ്	
10130447-n	mal:lemma	സ്ത്രീ	
10136615-n	mal:lemma	തട്ടാന്‍	
10142391-n	mal:lemma	മുത്തച്ഛന്‍	
10142391-n	mal:lemma	അപ്പൂപ്പന്‍	
10142747-n	mal:lemma	മുത്തശ്ശി	
10142747-n	mal:lemma	അമ്മുമ്മ	
10142747-n	mal:lemma	അമ്മമ്മ	
10193967-n	mal:lemma	ഭര്‍ത്താവ്	
10231515-n	mal:lemma	രാജാവ്	
10278128-n	mal:lemma	അമ്മ	
10278128-n	mal:lemma	ഉമ്മ	
10285313-n	mal:lemma	ആണ്‍കുട്ടി	
10287213-n	mal:lemma	പുരുഷന്‍	
10287213-n	mal:lemma	ആണ്	
10314836-n	mal:lemma	വയറ്റാട്ടി	
10325013-n	mal:lemma	ധീരൻ	
10332385-n	mal:lemma	അമ്മ	
10332385-n	mal:lemma	മാതാവ്	
10332385-n	mal:lemma	തള്ള	
10350220-n	mal:lemma	നാസി	
10444194-n	mal:lemma	കവി	
10485440-n	mal:lemma	വേശ്യ	
10499355-n	mal:lemma	രാജ്ഞി	
10499355-n	mal:lemma	റാണി	
10499857-n	mal:lemma	രാജ്ഞി	
10499857-n	mal:lemma	റാണി	
10536728-n	mal:lemma	വഞ്ചകൻ	
10536728-n	mal:lemma	ചതിയൻ	
10536728-n	mal:lemma	കുറുക്കൻ	
10602985-n	mal:lemma	സഹോദരി	
10602985-n	mal:lemma	ചേച്ചി	
10613996-n	mal:lemma	സൗന്ദര്യം	
10613996-n	mal:lemma	മനോഹാരിത	
10622053-n	mal:lemma	പടയാളി	
10624074-n	mal:lemma	മകൻ	
10624074-n	mal:lemma	പുത്രൻ	
10624074-n	mal:lemma	തനയൻ	
10627082-n	mal:lemma	ആത്മാവു്	
10665698-n	mal:lemma	വിദ്യാര്‍ത്ഥി	
10665698-n	mal:lemma	വിദ്യാര്‍ത്ഥിനി	
10689878-n	mal:lemma	കഴിവ്	
10736091-n	mal:lemma	മാമന്‍	
10736091-n	mal:lemma	വല്യച്ചന്‍	
10736091-n	mal:lemma	ചെറിയച്ചന്‍	
10753546-n	mal:lemma	വഞ്ചകൻ	
10753546-n	mal:lemma	ചതിയൻ	
10753546-n	mal:lemma	കുറുക്കൻ	
10753779-n	mal:lemma	വഞ്ചകൻ	
10753779-n	mal:lemma	ചതിയൻ	
10753779-n	mal:lemma	കുറുക്കൻ	
10780632-n	mal:lemma	ഭാര്യ	
10780632-n	mal:lemma	പത്നി	
10787470-n	mal:lemma	സ്ത്രീ	
10787470-n	mal:lemma	പെണ്ണ്	
10787470-n	mal:lemma	വനിത	
10787470-n	mal:lemma	മഹിള	
11052672-n	mal:lemma	ഹിറ്റ്ലര്	
11126490-n	mal:lemma	ലെനിൻ	
11184092-n	mal:lemma	മുഹമ്മദ്	
11312120-n	mal:lemma	സ്റ്റാലിൻ	
11458314-n	mal:lemma	മൂടൽമഞ്ഞ്	
11501381-n	mal:lemma	മഴ	
11501649-n	mal:lemma	മഴത്തുള്ളി	
11503287-n	mal:lemma	അപവര്‍ത്തനം	
11508382-n	mal:lemma	ഹിമം	
11521145-n	mal:lemma	ചുഴലിക്കാറ്റ്	
11521145-n	mal:lemma	കൊടുങ്കാറ്റ്	
11524662-n	mal:lemma	അന്തരീക്ഷസ്ഥിതി	
11525955-n	mal:lemma	കാറ്റ്	
11669335-n	mal:lemma	പൂവ്	
11669335-n	mal:lemma	പുഷ്പം	
11669335-n	mal:lemma	ഏറ്റവും	
11669335-n	mal:lemma	നല്ല	
11669335-n	mal:lemma	ഭാഗം	
11669335-n	mal:lemma	കണ്ണായ	
11669335-n	mal:lemma	ഭാഗം	
11823043-n	mal:lemma	അഗത്തി	
12102133-n	mal:lemma	പുല്ല്	
12201580-n	mal:lemma	കൊക്കോ	
12501202-n	mal:lemma	പുളി	
12584191-n	mal:lemma	അടയ്ക്ക	
12587803-n	mal:lemma	തെങ്ങ്	
12593994-n	mal:lemma	ഈന്തപ്പന	
12696492-n	mal:lemma	ആര്യവേപ്പ്	
12711596-n	mal:lemma	ചെറുനാരകം	
12761284-n	mal:lemma	മാങ്ങ	
12896000-n	mal:lemma	വഴുതന	
12896000-n	mal:lemma	വഴുതനങ്ങ	
12907465-n	mal:lemma	പുകയില	
12916511-n	mal:lemma	തേക്കു്	
13102409-n	mal:lemma	വള്ളി	
13102409-n	mal:lemma	വല്ലി	
13102409-n	mal:lemma	ലത	
13104059-n	mal:lemma	മരം	
13112664-n	mal:lemma	കുറ്റിച്ചെടി	
13152742-n	mal:lemma	ഇല	
13250542-n	mal:lemma	പണം	
13265011-n	mal:lemma	സമ്മാനം	
13270038-n	mal:lemma	സംഭാവന	
13270038-n	mal:lemma	ദാനം	
13318584-n	mal:lemma	പലിശ	
13353607-n	mal:lemma	മൂലധനം	
13365286-n	mal:lemma	സംരക്ഷണം	
13532886-n	mal:lemma	ജനനം	
13556893-n	mal:lemma	പുക	
13650045-n	mal:lemma	അടി	
13704274-n	mal:lemma	രൂപ	
13731021-n	mal:lemma	വര്‍ഗ്ഗം	
13741022-n	mal:lemma	അക്കം	
13744722-n	mal:lemma	ആറ്	
13745270-n	mal:lemma	ഒന്‍പത്	
13831176-n	mal:lemma	വടക്ക്	
13832355-n	mal:lemma	കിഴക്ക്	
13833375-n	mal:lemma	തെക്ക്	
13834399-n	mal:lemma	പടിഞ്ഞാറ്	
13866144-n	mal:lemma	ബഹുഭുജം	
13878634-n	mal:lemma	സമചതുരം	
13928388-n	mal:lemma	ബന്ധം	
13963192-n	mal:lemma	ജീവിതം	
13963970-n	mal:lemma	വിവാഹജീവിതം	
13987423-n	mal:lemma	ആനന്ദം	
13987423-n	mal:lemma	സന്തോഷം	
13987423-n	mal:lemma	ആഹ്ളാദം	
13989627-n	mal:lemma	നിഷ്കളങ്കത	
13990675-n	mal:lemma	കുറ്റബോധം	
14046202-n	mal:lemma	ഗര്‍ഭം	
14070360-n	mal:lemma	രോഗം	
14070360-n	mal:lemma	സുഖക്കേട്	
14127782-n	mal:lemma	എയ്ഡ്സ്	
14322699-n	mal:lemma	വേദന	
14491889-n	mal:lemma	സുഖം	
14540765-n	mal:lemma	ആപത്ത്	
14627820-n	mal:lemma	അലൂമിനിയം	
14631295-n	mal:lemma	ബെറിലിയം	
14631871-n	mal:lemma	ബോറോണ	
14633206-n	mal:lemma	കാര്‍ബണ്‍	
14635722-n	mal:lemma	ചെമ്പ്	
14637507-n	mal:lemma	ഫ്ലൂറിന്‍	
14638799-n	mal:lemma	സ്വര്‍ണ്ണം	
14638799-n	mal:lemma	സ്വര്‍ണം	
14639921-n	mal:lemma	ഹീലിയം	
14640434-n	mal:lemma	ഹൈഡ്രജന്‍	
14642417-n	mal:lemma	ഇരുമ്പ്	
14643467-n	mal:lemma	കറുത്തീയം	
14643793-n	mal:lemma	ലിഥിയം	
14644249-n	mal:lemma	മഗ്നീഷ്യം	
14646152-n	mal:lemma	നിയോണ്‍	
14648100-n	mal:lemma	ഓക്സിജന്‍	
14648100-n	mal:lemma	അമ്ലജനകം	
14655371-n	mal:lemma	സോഡിയം	
14656219-n	mal:lemma	ഗന്ധകം	
14682133-n	mal:lemma	തന്മാത്ര	
14686913-n	mal:lemma	പെട്രോളിയം	
14700985-n	mal:lemma	ആംബർഗ്രീസ്	
14841267-n	mal:lemma	വായു	
14842847-n	mal:lemma	തീ	
14842847-n	mal:lemma	അഗ്നി	
14844414-n	mal:lemma	ഭൂമി	
14845743-n	mal:lemma	ജലം	
14845743-n	mal:lemma	വെള്ളം	
14881303-n	mal:lemma	സ്ഫടികം	
14881303-n	mal:lemma	പളുങ്കുപാത്രം	
14881303-n	mal:lemma	ഗ്ലാസ	
14931879-n	mal:lemma	ആഗ്നേയ	
14931879-n	mal:lemma	ശില	
14943580-n	mal:lemma	മരം	
15122231-n	mal:lemma	സമയം	
15129927-n	mal:lemma	സമയം	
15136147-n	mal:lemma	ആഴ്ച	
15155891-n	mal:lemma	നാളെ	
15156187-n	mal:lemma	ഇന്നലെ	
15163797-n	mal:lemma	ഞായര്	
15165289-n	mal:lemma	പ്രഭാതം	
15167027-n	mal:lemma	രാത്രി	
15188154-n	mal:lemma	പെശഹ	
15196186-n	mal:lemma	ക്രിസ്തുമസ്	
15201505-n	mal:lemma	കൊല്ലം	
15201505-n	mal:lemma	വര്‍ഷം	
15205532-n	mal:lemma	നൂറ്റാണ്ട്	
15205532-n	mal:lemma	ശതാബ്ദം	
15209413-n	mal:lemma	മാസം	
15210045-n	mal:lemma	ജനുവരി	
15210486-n	mal:lemma	ഫെബ്രുവരി	
15211806-n	mal:lemma	ജൂണ്‍	
15227846-n	mal:lemma	മണിക്കൂര്	
15237250-n	mal:lemma	വേനല്‍ക്കാലം	
15265518-n	mal:lemma	തുടക്കം	
15265518-n	mal:lemma	ആരംഭം	
00040365-r	mal:lemma	വീണ്ടും	
00048739-r	mal:lemma	പെട്ടെന്ന്	
00048739-r	mal:lemma	ഉടനെ	
00061677-r	mal:lemma	പെട്ടന്ന്	
00061677-r	mal:lemma	പെട്ടെന്ന്	
00207366-r	mal:lemma	ഇന്ന്	
00207366-r	mal:lemma	പുകയില	
00479275-r	mal:lemma	നാളെ	
00507716-r	mal:lemma	ഇന്നലെ	
00004819-v	mal:lemma	ഓമ്പുക‌	
00028565-v	mal:lemma	ചിരിക്കുക	
00028565-v	mal:lemma	പുഞ്ചിരിക്കുക	
00028565-v	mal:lemma	മന്ദഹസിക്കുക	
00028565-v	mal:lemma	മന്ദസ്മിതം	
00028565-v	mal:lemma	തൂകുക	
00031820-v	mal:lemma	പൊട്ടിച്ചിരിക്കുക	
00031820-v	mal:lemma	അട്ടഹസിക്കുക	
00066191-v	mal:lemma	കരയുക	
00086320-v	mal:lemma	കുത്തിവെയ്ക്കുക	
00124442-v	mal:lemma	ചലിക്കുക	
00594337-v	mal:lemma	അറിയുക	
00594621-v	mal:lemma	അറിയുക	
00595630-v	mal:lemma	അറിയുക	
00625119-v	mal:lemma	വായിക്കുക	
00625119-v	mal:lemma	വായന	
00648764-v	mal:lemma	ഗൂഗിൾ	
00648764-v	mal:lemma	ചെയ്യൂ	
00813978-v	mal:lemma	ചര്‍ച്ച	
00813978-v	mal:lemma	ചെയ്യുക	
00829107-v	mal:lemma	പഠിപ്പിക്കുക	
00829107-v	mal:lemma	അഭ്യസിപ്പിക്കുക	
00829107-v	mal:lemma	ശിക്ഷണം	
00829107-v	mal:lemma	നല്‍കുക	
00833702-v	mal:lemma	പരിശീലിയ്ക്കുക	
00834259-v	mal:lemma	നുണ	
00834259-v	mal:lemma	കള്ളം	
00848420-v	mal:lemma	അപമാനിക്കുക	
00848420-v	mal:lemma	നിന്ദിക്കുക	
00993014-v	mal:lemma	എഴുത്ത്	
01009240-v	mal:lemma	പറയുന്നു	
01009240-v	mal:lemma	ശബ്ദിക്കുന്നു	
01055146-v	mal:lemma	ഞെക്കുക	
01128193-v	mal:lemma	രക്ഷിയ്ക്കുക	
01168468-v	mal:lemma	കഴിയ്ക്കുക	
01168468-v	mal:lemma	തിന്നുക	
01168468-v	mal:lemma	ഉണ്ണുക	
01170052-v	mal:lemma	കുടിയ്ക്കുക	
01380638-v	mal:lemma	ശേഖരിയ്ക്കുക	
01384439-v	mal:lemma	ശേഖരിയ്ക്കുക	
01431230-v	mal:lemma	ചുംബിയ്ക്കുക	
01431230-v	mal:lemma	ഉമ്മ	
01431230-v	mal:lemma	വക്കുക	
01445932-v	mal:lemma	കടി	
01547001-v	mal:lemma	കിടക്കുക	
01664172-v	mal:lemma	പാകം	
01664172-v	mal:lemma	ചെയ്യുന്നു	
01732921-v	mal:lemma	നയിയ്ക്കുക	
01775535-v	mal:lemma	ഇഷ്ടപ്പെടുക	
01835496-v	mal:lemma	പോവുക	
01845720-v	mal:lemma	സഞ്ചാരം	
01894649-v	mal:lemma	ആടുക	
01926311-v	mal:lemma	ഓടുക	
01960911-v	mal:lemma	നീന്തുക	
01972298-v	mal:lemma	വീഴുക	
02077656-v	mal:lemma	കൊണ്ടുവരിക	
02129289-v	mal:lemma	കാണുക	
02144835-v	mal:lemma	മറയ്ക്കുക	
02145814-v	mal:lemma	മറയുക	
02169891-v	mal:lemma	ശ്രദ്ധ	
02169891-v	mal:lemma	ശ്രദ്ധിക്കുക	
02202384-v	mal:lemma	സൂക്ഷിക്കുക	
02202384-v	mal:lemma	സംരക്ഷിക്കുക	
02586619-v	mal:lemma	ഭരിയ്ക്കുക	
06978656-n	mal:lemma	അബ്ഖാസിയന്‍	
06973941-n	mal:lemma	അവസ്റ്റാന്‍	
06997486-n	mal:lemma	അകാന്‍	
06987525-n	mal:lemma	അക്കാഡിയന്‍	
06918312-n	mal:lemma	അലൈട്ട്	
06906971-n	mal:lemma	അല്‍ഗോണ്‍ക്യന്‍	
06987812-n	mal:lemma	അമാറിക്	
06919433-n	mal:lemma	അപ്പാചേ	
06988057-n	mal:lemma	അറബി	
06988307-n	mal:lemma	അരമായഭാഷ	
06908291-n	mal:lemma	അരപാഹോ	
06894544-n	mal:lemma	കൃത്രിമഭാഷ	
06917764-n	mal:lemma	അറാവക്	
06970784-n	mal:lemma	ആസ്സാമീസ്	
06927007-n	mal:lemma	അസര്‍ബൈജാനി	
06927007-n	mal:lemma	അസേരി	
06974687-n	mal:lemma	ബലൂചി	
06939656-n	mal:lemma	ബാലിനീസ്	
06945679-n	mal:lemma	ബാള്‍ട്ടിക്	
06944480-n	mal:lemma	ബൈലോറഷ്യന്‍	
06990544-n	mal:lemma	ബെര്‍ബര്‍	
06945569-n	mal:lemma	ബള്‍ഗേറിയന്‍	
06970510-n	mal:lemma	ബീഹാറി	
06970946-n	mal:lemma	ബംഗാളി	
06991980-n	mal:lemma	ബാന്‌ടു	
06933931-n	mal:lemma	തിബറ്റന്‍	
06961771-n	mal:lemma	ബ്രറ്റണ്‍	
06967529-n	mal:lemma	കറ്റാലന്‍	
06915601-n	mal:lemma	കാഡോ	
06917926-n	mal:lemma	കാരിബ്	
06978180-n	mal:lemma	കൊക്കേഷ്യന്‍	
06978422-n	mal:lemma	ചെചന്‍	
06940109-n	mal:lemma	സെബുവാനോ	
06960298-n	mal:lemma	സെല്‍റ്റിക്	
06928047-n	mal:lemma	ചഗതൈ	
06957287-n	mal:lemma	മാരി	
06905828-n	mal:lemma	ചിനൂഗ്-ജാര്‍ഗണ്‍	
06912436-n	mal:lemma	ചോക്റ്റാവ്	
06920010-n	mal:lemma	ചിപേവ്യന്‍	
06916117-n	mal:lemma	ചെരോകീ	
06908700-n	mal:lemma	ചിയേന്നേ	
06990371-n	mal:lemma	കോപ്റ്റിക്	
06909298-n	mal:lemma	ക്രീ	
06944911-n	mal:lemma	ചെക്ക്	
06944156-n	mal:lemma	ചര്‍ച്ച്	
06927952-n	mal:lemma	ചുവാഷ്	
06961557-n	mal:lemma	വെല്‍ഷ്	
06954048-n	mal:lemma	ഡാനിഷ്	
06909478-n	mal:lemma	ഡകോട്ട	
06950528-n	mal:lemma	ജര്‍മ്മന്‍	
06909571-n	mal:lemma	ദലവാരെ	
06998322-n	mal:lemma	ദിന്‍ക	
06979014-n	mal:lemma	ദ്രാവിഡഭാഷ	
06997587-n	mal:lemma	എവ്	
06976392-n	mal:lemma	ഗ്രീക്ക്	
06968454-n	mal:lemma	എലാമൈറ്റ്	
06948761-n	mal:lemma	മദ്ധ്യ	
06895791-n	mal:lemma	എസ്പരാന്തോ	
06966825-n	mal:lemma	സ്പാനിഷ്	
06957896-n	mal:lemma	എസ്റ്റോണിയന്‍	
06966695-n	mal:lemma	ബാസ്ക്	
06974127-n	mal:lemma	പേര്‍ഷ്യന്‍	
06992929-n	mal:lemma	ഫങ്	
06958255-n	mal:lemma	ഫിന്നിഷ്	
06939756-n	mal:lemma	ഫിലിപ്പിനോ	
06938623-n	mal:lemma	ഫിജിയന്‍	
06955087-n	mal:lemma	ഫാറോസ്	
06965961-n	mal:lemma	കനേഡിയന്‍	
06967935-n	mal:lemma	ഫ്രിയുലിയാന്‍	
06960778-n	mal:lemma	ഐറിഷ്	
06961122-n	mal:lemma	സ്കോട്ടിഷ്	
06946497-n	mal:lemma	ജര്‍മാനിക്	
06966454-n	mal:lemma	ഗലീഷ്യന്‍	
06950973-n	mal:lemma	മദ്ധ്യ	
06917280-n	mal:lemma	ഗ്വാറാനി	
06950886-n	mal:lemma	പ്രാചീന	
06980971-n	mal:lemma	ഗോണ്ഡി	
06955706-n	mal:lemma	ഗോഥിക്ക്	
06977434-n	mal:lemma	പുരാതന	
06971454-n	mal:lemma	ഗുജറാത്തി	
06961221-n	mal:lemma	മാന്‍സ്	
06982697-n	mal:lemma	ഹൗസ	
06910238-n	mal:lemma	ഹൈഡ	
06938493-n	mal:lemma	ഹവായിയന്‍	
06987124-n	mal:lemma	ഹീബ്രു	
06970103-n	mal:lemma	ഹിന്ദി	
06975902-n	mal:lemma	ഹിറ്റൈറ്റേ	
06937098-n	mal:lemma	മോങ്	
06958836-n	mal:lemma	ഹംഗേറിയന്‍	
06919818-n	mal:lemma	ഹൂപ	
06942699-n	mal:lemma	അര്‍മേനിയന്‍	
06993225-n	mal:lemma	ഹെരേരൊ	
06896304-n	mal:lemma	ഇന്‍റര്‍ലിംഗ്വാ	
06939198-n	mal:lemma	ഇന്‍ഡോനേഷ്യന്‍	
06941644-n	mal:lemma	ഇന്‍ഡോ-യൂറോപ്യന്‍	
06896500-n	mal:lemma	ഇഡോ	
06973610-n	mal:lemma	ഇറാനിയന്‍	
06916803-n	mal:lemma	ഇറോക്വായിയന്‍	
06954183-n	mal:lemma	ഐസ്‌ലാന്‍ഡിക്	
06964247-n	mal:lemma	ഇറ്റാലിയന്‍	
06929279-n	mal:lemma	ജപ്പാനീസ്	
06939431-n	mal:lemma	ജാവാനീസ്	
06978766-n	mal:lemma	ജോര്‍ജിയന്‍	
06933022-n	mal:lemma	കാചിന്‍	
06993348-n	mal:lemma	കംബ	
06932130-n	mal:lemma	കരേന്‍	
06993719-n	mal:lemma	കോംഗോ	
06941341-n	mal:lemma	ഘോയിസന്‍	
06927128-n	mal:lemma	കസാഖ്	
06937348-n	mal:lemma	കംബോഡിയന്‍	
06929171-n	mal:lemma	കൊറിയന്‍	
06958063-n	mal:lemma	കരീലിയന്‍	
06972874-n	mal:lemma	കാശ്മീരി	
06974558-n	mal:lemma	കുര്‍ദ്ദിഷ്	
06957042-n	mal:lemma	കോമി	
06961681-n	mal:lemma	കോര്‍ണിഷ്	
06927736-n	mal:lemma	കിര്‍ഗിസ്	
06962600-n	mal:lemma	ലാറ്റിന്‍	
06967282-n	mal:lemma	ലാഡിനോ	
06935594-n	mal:lemma	ലാവോ	
06946199-n	mal:lemma	ലിത്വേനിയന്‍	
06998392-n	mal:lemma	ലവോ	
06946355-n	mal:lemma	ലാത്വിയന്‍	
06937531-n	mal:lemma	ഓസ്ട്രോനേഷ്യന്‍	
06998460-n	mal:lemma	മസൈ	
06961033-n	mal:lemma	മദ്ധ്യ	
06938386-n	mal:lemma	മൗറി	
06910868-n	mal:lemma	മിക്മാക്	
06945473-n	mal:lemma	മാസിഡോണിയന്‍	
06928839-n	mal:lemma	മംഗോളിയന്‍	
06928744-n	mal:lemma	മന്‍ചു	
06916313-n	mal:lemma	മോഹാക്	
06971281-n	mal:lemma	മറാഠി	
06939051-n	mal:lemma	മലയ	
06988913-n	mal:lemma	മാള്‍ട്ടീസ്	
06932435-n	mal:lemma	ബര്‍മീസ്	
06919215-n	mal:lemma	മായന്‍	
06918832-n	mal:lemma	നാഹ്വാള്‍‍ട്ട്	
06952249-n	mal:lemma	ലോ	
06972985-n	mal:lemma	നേപ്പാളി	
06934020-n	mal:lemma	നേവാരി	
06991277-n	mal:lemma	നൈ‍ജര്‍-കോര്‍‍ഡോഫാനിയന്‍	
06952572-n	mal:lemma	ഡച്ച്	
06952705-n	mal:lemma	ഫ്ലമിഷ്	
06954303-n	mal:lemma	നോര്‍വീജിയന്‍	
06919712-n	mal:lemma	നവാഹൊ	
06994918-n	mal:lemma	ന്യാംവേസി	
06966190-n	mal:lemma	ഒക്സിററന്‍	
06911366-n	mal:lemma	ഓജിബ്വാ	
06971123-n	mal:lemma	ഒറിയ	
06911575-n	mal:lemma	ഒസേജ്	
06971605-n	mal:lemma	പഞ്ചാബി	
06941115-n	mal:lemma	പാപുവാന്‍	
06974846-n	mal:lemma	പാഹ്ലവി	
06989473-n	mal:lemma	ഫീനിഷ്യന്‍	
06973334-n	mal:lemma	പാലി	
06944720-n	mal:lemma	പോളിഷ്	
06975132-n	mal:lemma	പഷ്തു	
06975132-n	mal:lemma	പുഷ്തോ	
06966310-n	mal:lemma	പോര്‍ച്ചുഗീസ്	
06917083-n	mal:lemma	ക്വെച്ചുവ	
06968174-n	mal:lemma	രഹയ്ട്ടോ-റോമന്‍സ്	
06968343-n	mal:lemma	റുമേനിയന്‍	
06963951-n	mal:lemma	റോമന്‍സ്	
06969822-n	mal:lemma	റോമനി	
06944348-n	mal:lemma	റഷ്യന്‍	
06993573-n	mal:lemma	കിന്യര്‍വണ്ട	
06964600-n	mal:lemma	സര്‍ഡിനിയാന്‍	
06950209-n	mal:lemma	സ്കോട്സ്	
06969705-n	mal:lemma	സിന്ധി	
06960180-n	mal:lemma	സെല്‍കപ്	
06906028-n	mal:lemma	സാങ്കോ	
06960948-n	mal:lemma	പ്രാചീന	
06945095-n	mal:lemma	സെര്‍ബോ-ക്രൊയേഷ്യന്‍	
06935223-n	mal:lemma	ഷാന്‍	
06971741-n	mal:lemma	സിംഹള	
06920129-n	mal:lemma	സിവോന്‍	
06930934-n	mal:lemma	ചീന-ടിബത്തന്‍	
06944820-n	mal:lemma	സ്ലോവാക്ക്	
06943771-n	mal:lemma	സ്ലേവിക്	
06995135-n	mal:lemma	ഷോണാ	
06991004-n	mal:lemma	സോമാലി	
06998631-n	mal:lemma	സോംഗൈ	
06942252-n	mal:lemma	അല്‍ബേനിയന്‍	
06996755-n	mal:lemma	സെറര്‍	
06997697-n	mal:lemma	നിളോ-സഹാറന്‍	
06939542-n	mal:lemma	സുഡാനീസ്	
06954925-n	mal:lemma	സ്വീഡിഷ്	
06995792-n	mal:lemma	സ്വാഹിലി	
06980721-n	mal:lemma	തെലുങ്ക്	
06974390-n	mal:lemma	താജിക്	
06926889-n	mal:lemma	തുര്‍ക്മെന്‍	
06940001-n	mal:lemma	തഗാലോഗ്	
06913025-n	mal:lemma	ലിംഗ്വിറ്റ്	
06995664-n	mal:lemma	ത്സ്വാന	
06938190-n	mal:lemma	ടോംഗ	
06926798-n	mal:lemma	തുര്‍ക്കി	
06925644-n	mal:lemma	സിംഷ്യന്‍	
06927228-n	mal:lemma	ടാട്ടാര്‍	
06926212-n	mal:lemma	അറ്റ്ലാന്‍റിക്ക്	
06938294-n	mal:lemma	താഹിതിയന്‍	
06956794-n	mal:lemma	ഉഡ്മുര്‍ട്ട്	
06927486-n	mal:lemma	ഉയ്ഘുര്‍	
06927486-n	mal:lemma	വിഗോര്‍	
06989769-n	mal:lemma	ഉഗറിട്ടിക്	
06944623-n	mal:lemma	ഉക്രേനിയന്‍	
06995439-n	mal:lemma	ഉംബുന്ദു	
06969916-n	mal:lemma	ഉറുദു	
06927363-n	mal:lemma	ഉസ്ബെക്	
06937229-n	mal:lemma	വിയറ്റ്നാമീസ്	
06898129-n	mal:lemma	വോളാപുക്	
06966070-n	mal:lemma	വല്ലൂണ്‍	
06914423-n	mal:lemma	വകഷന്‍	
06996894-n	mal:lemma	വൊളോഫ്	
06994700-n	mal:lemma	ഖോസാ	
06951067-n	mal:lemma	യിദ്ദിഷ്	
06997368-n	mal:lemma	യൊറൂബാ	
06930427-n	mal:lemma	കാന്റോണീസ്	
06936379-n	mal:lemma	സ്വാംഗ്	
06919122-n	mal:lemma	സാപ്പോടെക്	
06929742-n	mal:lemma	ചൈനീസ്	
06994792-n	mal:lemma	സുലു	
06352117-n	mal:lemma	അര്‍മേനിയന്‍	
06352301-n	mal:lemma	അവെസ്ഥന്‍	
06352618-n	mal:lemma	ബ്രാഹ്മി	
06362792-n	mal:lemma	ബ്രെയ്‌ലി	
06499796-n	mal:lemma	സിറിലിക്	
06352782-n	mal:lemma	ദേവനാഗരി	
06361934-n	mal:lemma	സമരേഖയിലുള്ള	
06362059-n	mal:lemma	ലീനിയര്‍	
06500639-n	mal:lemma	ദൃശ്യഭാഷ	
06808720-n	mal:lemma	ഗണിത	
09189411-n	mal:lemma	ആഫ്രിക്ക	
09372504-n	mal:lemma	വടക്കേ	
09440400-n	mal:lemma	തെക്കേ	
