wiktionary-cldr-merge	kal	http://wiktionary.org/	CC BY-SA
08998560-n	kal:lemma	Somalia	
09030752-n	kal:lemma	Suriname	
08738272-n	kal:lemma	El	
09033333-n	kal:lemma	Syria	
09031233-n	kal:lemma	Swazilandi	
08720037-n	kal:lemma	Chad	
08759986-n	kal:lemma	Togo	
09036452-n	kal:lemma	Thailandi	
09020961-n	kal:lemma	Tajikistan	
08776435-n	kal:lemma	Timor	
08776435-n	kal:lemma	Timor	
09021503-n	kal:lemma	Turkmenistani	
09037394-n	kal:lemma	Tunisia	
09037133-n	kal:lemma	Tonga	
09039411-n	kal:lemma	Tyrkia	
08756202-n	kal:lemma	Trinidad	
08840374-n	kal:lemma	Tuvalu	
08840200-n	kal:lemma	Tuvalu	
08730550-n	kal:lemma	Taiwan	
08730354-n	kal:lemma	Taiwan	
09034550-n	kal:lemma	Tanzania	
09014979-n	kal:lemma	Ukraina	
09043052-n	kal:lemma	Uganda	
09044862-n	kal:lemma	Naalagaaffeqatigiit	
09160295-n	kal:lemma	Uruguay	
09022265-n	kal:lemma	Uzbekistani	
09161452-n	kal:lemma	Vatikani	
09161803-n	kal:lemma	Venezuela	
09163192-n	kal:lemma	Vietnam	
09160775-n	kal:lemma	Vanuatu	
08991182-n	kal:lemma	Samoa	
08991491-n	kal:lemma	Samoa	
09164561-n	kal:lemma	Jemen	
09165613-n	kal:lemma	Zambia	
09167101-n	kal:lemma	Zimbabwe	
08632096-n	kal:lemma	atorsinnaanngitsoq	
15210045-n	kal:lemma	jan	
15210486-n	kal:lemma	feb	
15210870-n	kal:lemma	mar	
15211189-n	kal:lemma	apr	
15211484-n	kal:lemma	maj	
15211806-n	kal:lemma	jun	
15212167-n	kal:lemma	jul	
15212455-n	kal:lemma	aug	
15212739-n	kal:lemma	sep	
15213115-n	kal:lemma	okt	
15213406-n	kal:lemma	nov	
15213774-n	kal:lemma	dec	
15210045-n	kal:lemma	januari	
15210486-n	kal:lemma	februari	
15210870-n	kal:lemma	martsi	
15211189-n	kal:lemma	aprili	
15211484-n	kal:lemma	maji	
15211806-n	kal:lemma	juni	
15212167-n	kal:lemma	juli	
15212455-n	kal:lemma	augustusi	
15212739-n	kal:lemma	septemberi	
15213115-n	kal:lemma	oktoberi	
15213406-n	kal:lemma	novemberi	
15213774-n	kal:lemma	decemberi	
15163797-n	kal:lemma	sab	
15163979-n	kal:lemma	ata	
15164105-n	kal:lemma	mar	
15164233-n	kal:lemma	pin	
15164354-n	kal:lemma	sis	
15164463-n	kal:lemma	tal	
15164570-n	kal:lemma	arf	
15163797-n	kal:lemma	sabaat	
15163979-n	kal:lemma	ataasinngorneq	
15164105-n	kal:lemma	marlunngorneq	
15164233-n	kal:lemma	pingasunngorneq	
15164354-n	kal:lemma	sisamanngorneq	
15164463-n	kal:lemma	tallimanngorneq	
00130518-s	kal:lemma	ut	
00130701-s	kal:lemma	uk	
00130518-s	kal:lemma	ulloqeqqata-tungaa	
00130701-s	kal:lemma	ulloqeqqata-kingorna	
