wiktionary-cldr-merge	kal	http://wiktionary.org/	CC BY-SA
06252138-n	kal:lemma	attaveqaqatigiinneq	
06286395-n	kal:lemma	oqaaseq	
06319293-n	kal:lemma	taggit	
06320569-n	kal:lemma	oqaluut	
06410904-n	kal:lemma	atuagaq	
06415419-n	kal:lemma	blokki	
06431740-n	kal:lemma	biibili	
06473563-n	kal:lemma	blanketti	
06518719-n	kal:lemma	biletti	
06724942-n	kal:lemma	atorfiup	
06724942-n	kal:lemma	imarisai	
06865345-n	kal:lemma	nipi	
06895791-n	kal:lemma	Esperanto	
06926798-n	kal:lemma	Tyrkiskisut	
06928839-n	kal:lemma	Mongoliamiutut	
06929171-n	kal:lemma	Koreamiusut	
06929742-n	kal:lemma	Kineserisut	
06937229-n	kal:lemma	Vietnamimiusut	
06938386-n	kal:lemma	Maorimiutut	
06939198-n	kal:lemma	Indonesiamiutut	
06944348-n	kal:lemma	Ruslandimiutut	
06944623-n	kal:lemma	Ukrainimiusut	
06944820-n	kal:lemma	Slovakimiusut	
06944911-n	kal:lemma	Tjekkiamut	
06946199-n	kal:lemma	Litauenimiutut	
06946355-n	kal:lemma	Letlandimiutut	
06947032-n	kal:lemma	Tuluttut	
06950528-n	kal:lemma	Tyskisut	
06954925-n	kal:lemma	Svenskisuut	
06957896-n	kal:lemma	Estlandimiutut	
06962600-n	kal:lemma	Latiinerisut	
06964247-n	kal:lemma	Italiamiutut	
06964901-n	kal:lemma	Franskisut	
06966310-n	kal:lemma	Portugalimiutut	
06966825-n	kal:lemma	Spanskisut	
06969916-n	kal:lemma	Urdumiutut	
06970103-n	kal:lemma	Hindimiutut	
06970946-n	kal:lemma	Bengalimiutut	
06974127-n	kal:lemma	Persiskisut	
06974127-n	kal:lemma	Farsimiutut	
06974558-n	kal:lemma	Kurdiskisut	
06975132-n	kal:lemma	Pashtomiutut	
06976392-n	kal:lemma	Grækerisut	
06987124-n	kal:lemma	Hebraimiutut	
06988057-n	kal:lemma	Arabiamiutut	
07110615-n	kal:lemma	nipi	
07301336-n	kal:lemma	ajunaarneq	
07428954-n	kal:lemma	nunap	
07428954-n	kal:lemma	sajunnera	
07583197-n	kal:lemma	qajoq	
07649854-n	kal:lemma	neqi	
07675627-n	kal:lemma	immigaq	
07679356-n	kal:lemma	iffiaq	
07707451-n	kal:lemma	grøntsagi	
07710616-n	kal:lemma	naatsiiat	
07753592-n	kal:lemma	banani	
07775375-n	kal:lemma	aalisaq	
07783967-n	kal:lemma	nimeriaq	
07840804-n	kal:lemma	mannik	
07848338-n	kal:lemma	punneq	
07850329-n	kal:lemma	immussuaq	
07886849-n	kal:lemma	immiaq	
07886849-n	kal:lemma	baaja	
07891726-n	kal:lemma	viinni	
07932841-n	kal:lemma	tii	
08168978-n	kal:lemma	nunaat	
08188235-n	kal:lemma	nipilersortut	
08248157-n	kal:lemma	nipilersortut	
08248856-n	kal:lemma	nipilersoqatigiissuit	
08249038-n	kal:lemma	nipilersortartut	
08276539-n	kal:lemma	børnehave	
08276539-n	kal:lemma	paaqqinniffik	
08276539-n	kal:lemma	meeqqerivik	
08276720-n	kal:lemma	atuarfik	
08412136-n	kal:lemma	børnehave	
08412136-n	kal:lemma	paaqqinniffik	
08412136-n	kal:lemma	meeqqerivik	
08420278-n	kal:lemma	banki	
08521816-n	kal:lemma	qiteq	
08550966-n	kal:lemma	biskoppeqarfik	
08615638-n	kal:lemma	biilinut	
08615638-n	kal:lemma	uninngatitsivik	
08740875-n	kal:lemma	Mexico	
08761244-n	kal:lemma	Danmarki	
08765890-n	kal:lemma	Sverige	
08786660-n	kal:lemma	Argosi	
08801678-n	kal:lemma	Italia	
08819397-n	kal:lemma	Kalaallit	
08819397-n	kal:lemma	Nunaat	
08820121-n	kal:lemma	Kanata	
08845555-n	kal:lemma	Østrigi	
08849753-n	kal:lemma	Belgia	
08860123-n	kal:lemma	Tuluit	
08860123-n	kal:lemma	Nunaat	
08949093-n	kal:lemma	Pukkitsormiut	
08952856-n	kal:lemma	Savalimmiusut	
08952856-n	kal:lemma	Færøerne	
08953324-n	kal:lemma	Islandi	
08955082-n	kal:lemma	Korea	
08955082-n	kal:lemma	Avannarleq	
08955626-n	kal:lemma	Korea	
08955626-n	kal:lemma	Kujalleq	
08958212-n	kal:lemma	Sidon	
08960363-n	kal:lemma	Benghazi	
08975902-n	kal:lemma	Pakistan	
08999482-n	kal:lemma	Afrika	
08999482-n	kal:lemma	Kujalleq	
