# Wiktionary	roh	http://wiktionary.org/	CC BY-SA
01792640-n	roh:lemma	giaglina	
01794158-n	roh:lemma	galdin	
01797020-n	roh:lemma	cot	
01797020-n	roh:lemma	/	
01797020-n	roh:lemma	gialina	
01797020-n	roh:lemma	da	
01797020-n	roh:lemma	taus	
01806567-n	roh:lemma	quacra	
01806567-n	roh:lemma	quaiglia	
01809106-n	roh:lemma	giaglina	
01809106-n	roh:lemma	perlada	
01811909-n	roh:lemma	columba	
01823013-n	roh:lemma	cucu	
01838598-n	roh:lemma	pitgalain	
01846331-n	roh:lemma	anda	
01847806-n	roh:lemma	anda	
01847806-n	roh:lemma	selvadia	
01855672-n	roh:lemma	auca	
01858441-n	roh:lemma	cign	
01887896-n	roh:lemma	vadè	
01889520-n	roh:lemma	talpa	
01895735-n	roh:lemma	pel	
01922303-n	roh:lemma	verm	
01922303-n	roh:lemma	vierm	
01922303-n	roh:lemma	vearm	
02041246-n	roh:lemma	muetta	
02076196-n	roh:lemma	foca	
02076196-n	roh:lemma	chaun	
02076196-n	roh:lemma	da	
02076196-n	roh:lemma	mar	
02076196-n	roh:lemma	tgaun	
02076196-n	roh:lemma	da	
02076196-n	roh:lemma	mar	
02076196-n	roh:lemma	tgàn	
02076196-n	roh:lemma	marin	
02083672-n	roh:lemma	chogna	
02083672-n	roh:lemma	chagna	
02084071-n	roh:lemma	chaun	
02084071-n	roh:lemma	tgaun	
02121620-n	roh:lemma	giat	
02121620-n	roh:lemma	giatta	
02127052-n	roh:lemma	luf	
02127052-n	roh:lemma	tscherver	
02131653-n	roh:lemma	urs	
02131653-n	roh:lemma	uors	
02131653-n	roh:lemma	ursa	
02131653-n	roh:lemma	uorsa	
02139199-n	roh:lemma	utschè	
02139199-n	roh:lemma	mezmieur	
02157557-n	roh:lemma	cua	
02186153-n	roh:lemma	pilesch	
02186153-n	roh:lemma	pelisch	
02186153-n	roh:lemma	pelesch	
02186153-n	roh:lemma	pülesch	
02186153-n	roh:lemma	pülsch	
02190166-n	roh:lemma	mustga	
02190166-n	roh:lemma	tschitta	
02206856-n	roh:lemma	avieul	
02206856-n	roh:lemma	aviul	
02206856-n	roh:lemma	avioul	
02206856-n	roh:lemma	aviöl	
02212062-n	roh:lemma	vespra	
02212062-n	roh:lemma	viaspra	
02274259-n	roh:lemma	spler	
02274259-n	roh:lemma	tgiralla	
02274259-n	roh:lemma	tschitta	
02324045-n	roh:lemma	cunigl	
02326432-n	roh:lemma	lieur	
02330245-n	roh:lemma	mieur	
02338145-n	roh:lemma	undatra	
02352591-n	roh:lemma	durmigliet	
02361337-n	roh:lemma	muntanella	
02370360-n	roh:lemma	iver	
02370360-n	roh:lemma	eiver	
02370360-n	roh:lemma	üver	
02374451-n	roh:lemma	chaval	
02395406-n	roh:lemma	portg	
02395406-n	roh:lemma	piertg	
02395406-n	roh:lemma	püerch	
02395406-n	roh:lemma	chucal	
02395694-n	roh:lemma	purschè	
02395694-n	roh:lemma	purschi	
02395694-n	roh:lemma	purtschi	
02395694-n	roh:lemma	purtscheala	
02395694-n	roh:lemma	purschel	
02395694-n	roh:lemma	purschlin	
02396427-n	roh:lemma	ver	
02396427-n	roh:lemma	portg	
02396427-n	roh:lemma	selvadi	
02402425-n	roh:lemma	biestga	
02402425-n	roh:lemma	muaglia	
02402425-n	roh:lemma	muvel	
02402425-n	roh:lemma	movel	
02403003-n	roh:lemma	bov	
02403454-n	roh:lemma	vatga	
02403454-n	roh:lemma	vacha	
02412440-n	roh:lemma	agnè	
02412440-n	roh:lemma	tschut	
02415829-n	roh:lemma	muflon	
02416519-n	roh:lemma	chaura	
02417914-n	roh:lemma	capricorn	
02417914-n	roh:lemma	stambutg	
02419336-n	roh:lemma	chamutsch	
02430045-n	roh:lemma	tschierv	
02431122-n	roh:lemma	tschierv	
02431122-n	roh:lemma	cotschen	
02437136-n	roh:lemma	chamel	
02443114-n	roh:lemma	telpi	
02444819-n	roh:lemma	ludra	
02447366-n	roh:lemma	tais	
02450295-n	roh:lemma	fiergna	
02450295-n	roh:lemma	nobla	
02472293-n	roh:lemma	uman	
02503517-n	roh:lemma	elefant	
02512053-n	roh:lemma	pesch	
02512053-n	roh:lemma	pestg	
02537085-n	roh:lemma	litgiva	
02742753-n	roh:lemma	frizza	
02764044-n	roh:lemma	sigir	
02764044-n	roh:lemma	siir	
02764044-n	roh:lemma	sagir	
02764044-n	roh:lemma	sieir	
02764044-n	roh:lemma	sgür	
02764044-n	roh:lemma	manera	
02779435-n	roh:lemma	balla	
02779435-n	roh:lemma	bura	
02779435-n	roh:lemma	bora	
02818832-n	roh:lemma	letg	
02844056-n	roh:lemma	currider	
02844056-n	roh:lemma	curider	
02844056-n	roh:lemma	currier	
02844056-n	roh:lemma	curridur	
02848216-n	roh:lemma	nizza	
02848216-n	roh:lemma	loma	
02858304-n	roh:lemma	bartga	
02872752-n	roh:lemma	stival	
02872752-n	roh:lemma	stivagl	
02872752-n	roh:lemma	stivel	
02879718-n	roh:lemma	artg	
02879718-n	roh:lemma	arch	
02889425-n	roh:lemma	frain	
02889425-n	roh:lemma	frein	
02889425-n	roh:lemma	fragn	
02898711-n	roh:lemma	punt	
02938886-n	roh:lemma	calculader	
02938886-n	roh:lemma	calculatur	
02938886-n	roh:lemma	calculatour	
02938886-n	roh:lemma	quintader	
02938886-n	roh:lemma	chintader	
02948072-n	roh:lemma	chandaila	
02980625-n	roh:lemma	tur	
02992529-n	roh:lemma	telefon	
02992529-n	roh:lemma	mobil	
03001627-n	roh:lemma	sutga	
03014705-n	roh:lemma	chista	
03014705-n	roh:lemma	trucca	
03014705-n	roh:lemma	cesta	
03014705-n	roh:lemma	trocla	
03014705-n	roh:lemma	tgascha	
03014705-n	roh:lemma	begl	
03014705-n	roh:lemma	chaista	
03014705-n	roh:lemma	chascha	
03028079-n	roh:lemma	baselgia	
03074855-n	roh:lemma	petgen	
03074855-n	roh:lemma	pettan	
03082979-n	roh:lemma	computer	
03082979-n	roh:lemma	calculader	
03138669-n	roh:lemma	curuna	
03138669-n	roh:lemma	cruna	
03138669-n	roh:lemma	crùna	
03138669-n	roh:lemma	carugna	
03221720-n	roh:lemma	isch	
03221720-n	roh:lemma	esch	
03221720-n	roh:lemma	üsch	
03303965-n	roh:lemma	sortida	
03303965-n	roh:lemma	sorteida	
03427296-n	roh:lemma	porta	
03467517-n	roh:lemma	ghitarra	
03482523-n	roh:lemma	lantschetta	
03485794-n	roh:lemma	faziel	
03485794-n	roh:lemma	fazielet	
03544360-n	roh:lemma	chasa	
03613294-n	roh:lemma	clav	
03627232-n	roh:lemma	nuf	
03627232-n	roh:lemma	nuv	
03627232-n	roh:lemma	nouv	
03632277-n	roh:lemma	stgala	
03632277-n	roh:lemma	scala	
03632277-n	roh:lemma	stgeala	
03649909-n	roh:lemma	segapastget	
03661043-n	roh:lemma	biblioteca	
03699975-n	roh:lemma	maschina	
03699975-n	roh:lemma	maschegna	
03720163-n	roh:lemma	carta	
03816136-n	roh:lemma	guglia	
03841417-n	roh:lemma	ovra	
03841417-n	roh:lemma	ouvra	
03875218-n	roh:lemma	lac	
03875218-n	roh:lemma	vernisch	
03875218-n	roh:lemma	verneisch	
03931044-n	roh:lemma	maletg	
03935335-n	roh:lemma	purschè	
03935335-n	roh:lemma	da	
03935335-n	roh:lemma	spargn	
04092609-n	roh:lemma	anè	
04105068-n	roh:lemma	tetg	
04105068-n	roh:lemma	tet	
04127904-n	roh:lemma	tenda	
04127904-n	roh:lemma	vela	
04127904-n	roh:lemma	vel	
04148054-n	roh:lemma	forsch	
04148054-n	roh:lemma	forbesch	
04197391-n	roh:lemma	chamischa	
04219424-n	roh:lemma	mãtase	
04219424-n	roh:lemma	saida	
04219424-n	roh:lemma	seida	
04219424-n	roh:lemma	seda	
04253437-n	roh:lemma	savun	
04253437-n	roh:lemma	savung	
04253437-n	roh:lemma	savùn	
04334599-n	roh:lemma	via	
04334599-n	roh:lemma	strada	
04373894-n	roh:lemma	spada	
04373894-n	roh:lemma	speda	
04379243-n	roh:lemma	maisa	
04395651-n	roh:lemma	tetovaziun	
04395651-n	roh:lemma	tatuaziun	
04401088-n	roh:lemma	telefon	
04401680-n	roh:lemma	cabina	
04401680-n	roh:lemma	da	
04401680-n	roh:lemma	telefon	
04453298-n	roh:lemma	pasta	
04453298-n	roh:lemma	da	
04453298-n	roh:lemma	dents	
04460130-n	roh:lemma	tur	
04507155-n	roh:lemma	paraplievgia	
04546855-n	roh:lemma	mir	
04546855-n	roh:lemma	meir	
04546855-n	roh:lemma	mür	
04574999-n	roh:lemma	roda	
04574999-n	roh:lemma	rouda	
04587648-n	roh:lemma	fanestra	
04599235-n	roh:lemma	launa	
04599396-n	roh:lemma	ovra	
04599396-n	roh:lemma	ouvra	
04965661-n	roh:lemma	mellen	
04981139-n	roh:lemma	sun	
04981139-n	roh:lemma	tun	
05254795-n	roh:lemma	chavels	
05254795-n	roh:lemma	tgavel	
05254795-n	roh:lemma	chavè	
05254795-n	roh:lemma	cavegl	
05289297-n	roh:lemma	muscul	
05301072-n	roh:lemma	lieunga	
05305806-n	roh:lemma	lef	
05305806-n	roh:lemma	levz	
05305806-n	roh:lemma	levza	
05305806-n	roh:lemma	leavz	
05305806-n	roh:lemma	leavza	
05305806-n	roh:lemma	leiv	
05311054-n	roh:lemma	egl	
05311054-n	roh:lemma	îgl	
05311054-n	roh:lemma	îl	
05311054-n	roh:lemma	ögl	
05313535-n	roh:lemma	survantscheglia	
05320899-n	roh:lemma	ureglia	
05320899-n	roh:lemma	uraglia	
05332802-n	roh:lemma	gnirunchel	
05332802-n	roh:lemma	narunchel	
05332802-n	roh:lemma	niruncel	
05332802-n	roh:lemma	nirunchel	
05332802-n	roh:lemma	ranuogl	
05387544-n	roh:lemma	lom	
05387544-n	roh:lemma	lomm	
05387544-n	roh:lemma	leav	
05387544-n	roh:lemma	lev	
05387544-n	roh:lemma	pulmun	
05388805-n	roh:lemma	cor	
05399847-n	roh:lemma	sang	
05405324-n	roh:lemma	larma	
05418717-n	roh:lemma	avaina	
05418717-n	roh:lemma	avagna	
05546540-n	roh:lemma	culiez	
05546540-n	roh:lemma	culöz	
05548032-n	roh:lemma	fistla	
05548840-n	roh:lemma	spatla	
05553288-n	roh:lemma	pèz	
05553288-n	roh:lemma	péz	
05553288-n	roh:lemma	pet	
05554653-n	roh:lemma	chavadè	
05554653-n	roh:lemma	cavadi	
05554653-n	roh:lemma	tgavadi	
05554653-n	roh:lemma	tgavadel	
05554653-n	roh:lemma	chavdè	
05554653-n	roh:lemma	mamilla	
05556943-n	roh:lemma	venter	
05556943-n	roh:lemma	vainter	
05560787-n	roh:lemma	chomma	
05562249-n	roh:lemma	coissa	
05562249-n	roh:lemma	quiessa	
05562249-n	roh:lemma	cuissa	
05562249-n	roh:lemma	cossa	
05563266-n	roh:lemma	pe	
05564590-n	roh:lemma	maun	
05565064-n	roh:lemma	pugn	
05565064-n	roh:lemma	puogn	
05573602-n	roh:lemma	schanugl	
05573602-n	roh:lemma	schnuogl	
05581693-n	roh:lemma	ungla	
05598147-n	roh:lemma	nas	
05602548-n	roh:lemma	frunt	
05624042-n	roh:lemma	talent	
05624042-n	roh:lemma	dun	
05652593-n	roh:lemma	voluntad	
05652593-n	roh:lemma	volunted	
05652593-n	roh:lemma	voluntà	
05657718-n	roh:lemma	udida	
05658226-n	roh:lemma	gust	
05658226-n	roh:lemma	gost	
05753564-n	roh:lemma	furmaziun	
05769062-n	roh:lemma	dischariel	
05769062-n	roh:lemma	derschalet	
05769062-n	roh:lemma	darschalet	
05769062-n	roh:lemma	dischöl	
05769062-n	roh:lemma	fulet	
05769062-n	roh:lemma	ischier	
05816287-n	roh:lemma	infurmaziun	
05920272-n	roh:lemma	tema	
05946687-n	roh:lemma	fai	
06095022-n	roh:lemma	astronomia	
06122178-n	roh:lemma	geografia	
06122178-n	roh:lemma	geografeia	
06197215-n	roh:lemma	direcziun	
06282651-n	roh:lemma	linguatg	
06286395-n	roh:lemma	pled	
06286395-n	roh:lemma	plaid	
06321702-n	roh:lemma	adjectiv	
06333653-n	roh:lemma	num	
06333653-n	roh:lemma	nom	
06418901-n	roh:lemma	pledari	
06418901-n	roh:lemma	dicziunari	
06418901-n	roh:lemma	vocabulari	
06418901-n	roh:lemma	glossari	
06420781-n	roh:lemma	glossari	
06457612-n	roh:lemma	Babnoss	
06532330-n	roh:lemma	dretg	
06599788-n	roh:lemma	tema	
06624161-n	roh:lemma	brev	
06624161-n	roh:lemma	breav	
06624161-n	roh:lemma	charta	
06756831-n	roh:lemma	manzegna	
06756831-n	roh:lemma	manzigna	
06756831-n	roh:lemma	manzögna	
06760249-n	roh:lemma	larmas	
06760249-n	roh:lemma	da	
06760249-n	roh:lemma	crocodil	
06828818-n	roh:lemma	letra	
06828818-n	roh:lemma	bustab	
06828818-n	roh:lemma	custab	
06929279-n	roh:lemma	giapunais	
06942252-n	roh:lemma	albanais	
06942252-n	roh:lemma	lingua	
06942252-n	roh:lemma	albanaisa	
06947032-n	roh:lemma	lingua	
06947032-n	roh:lemma	englaisa	
06950528-n	roh:lemma	tudestg	
06964901-n	roh:lemma	lingua	
06964901-n	roh:lemma	franzosa	
06966825-n	roh:lemma	lingua	
06966825-n	roh:lemma	spagnola	
07127006-n	roh:lemma	riez	
07127006-n	roh:lemma	riem	
07127006-n	roh:lemma	riöz	
07127006-n	roh:lemma	risada	
07127006-n	roh:lemma	risaglia	
07196682-n	roh:lemma	dumonda	
07226841-n	roh:lemma	engirament	
07226841-n	roh:lemma	güramaint	
07226841-n	roh:lemma	angiramaint	
07226841-n	roh:lemma	saramaint	
07305907-n	roh:lemma	enfiern	
07352190-n	roh:lemma	unda	
07354731-n	roh:lemma	victoria	
07397355-n	roh:lemma	tun	
07397355-n	roh:lemma	tung	
07412993-n	roh:lemma	chametg	
07412993-n	roh:lemma	cametg	
07412993-n	roh:lemma	tgametg	
07412993-n	roh:lemma	sajetta	
07519253-n	roh:lemma	tema	
07541053-n	roh:lemma	speranza	
07541053-n	roh:lemma	spraunza	
07541053-n	roh:lemma	speronza	
07541053-n	roh:lemma	sprànza	
07543288-n	roh:lemma	charezza	
07614500-n	roh:lemma	glatsch	
07644967-n	roh:lemma	pulschain	
07644967-n	roh:lemma	giaglina	
07647496-n	roh:lemma	pernisch	
07647496-n	roh:lemma	pernisch	
07647496-n	roh:lemma	grischa	
07663592-n	roh:lemma	charn-bov	
07668702-n	roh:lemma	charn-portg	
07670433-n	roh:lemma	charnpiertg	
07679356-n	roh:lemma	paun	
07710616-n	roh:lemma	tartuffel	
07710616-n	roh:lemma	truffel	
07710616-n	roh:lemma	hardefel	
07710616-n	roh:lemma	tiffel	
07710616-n	roh:lemma	ardöffel	
07710616-n	roh:lemma	mailinterra	
07737745-n	roh:lemma	spagnoletta	
07745940-n	roh:lemma	fraja	
07745940-n	roh:lemma	fraia	
07745940-n	roh:lemma	freja	
07745940-n	roh:lemma	farbun	
07749582-n	roh:lemma	citrona	
07750872-n	roh:lemma	apricosa	
07751004-n	roh:lemma	persic	
07751451-n	roh:lemma	primbla	
07751451-n	roh:lemma	prema	
07751451-n	roh:lemma	prem	
07751451-n	roh:lemma	zuesca	
07751451-n	roh:lemma	zvetga	
07751451-n	roh:lemma	paloja	
07751451-n	roh:lemma	paloga	
07751451-n	roh:lemma	prüna	
07751451-n	roh:lemma	brümbla	
07758680-n	roh:lemma	iva	
07767344-n	roh:lemma	uliva	
07767344-n	roh:lemma	oliva	
07767344-n	roh:lemma	uleiva	
07767847-n	roh:lemma	pair	
07767847-n	roh:lemma	paira	
07772788-n	roh:lemma	nitschola	
07772788-n	roh:lemma	nitschoula	
07802026-n	roh:lemma	fain	
07803093-n	roh:lemma	ierdi	
07803093-n	roh:lemma	üerdi	
07803093-n	roh:lemma	giuta	
07803093-n	roh:lemma	giutta	
07803093-n	roh:lemma	giuotta	
07813107-n	roh:lemma	sal	
07813107-n	roh:lemma	sel	
07815588-n	roh:lemma	paiver	
07815588-n	roh:lemma	peiver	
07815588-n	roh:lemma	pever	
07840804-n	roh:lemma	ov	
07840804-n	roh:lemma	iev	
07840804-n	roh:lemma	öv	
07841037-n	roh:lemma	alv	
07841037-n	roh:lemma	d'ov	
07841037-n	roh:lemma	alv	
07841037-n	roh:lemma	d'öv	
07841037-n	roh:lemma	alb	
07841037-n	roh:lemma	d'öv	
07841037-n	roh:lemma	clar	
07841037-n	roh:lemma	d'iev	
07841037-n	roh:lemma	cler	
07841037-n	roh:lemma	d'ov	
07841037-n	roh:lemma	cler	
07841037-n	roh:lemma	d'öv	
07841345-n	roh:lemma	mellen	
07841345-n	roh:lemma	d'ov	
07841345-n	roh:lemma	mellen	
07841345-n	roh:lemma	d'iev	
07841345-n	roh:lemma	melen	
07841345-n	roh:lemma	d'ov	
07841345-n	roh:lemma	mellan	
07841345-n	roh:lemma	d'öv	
07841345-n	roh:lemma	gelg	
07841345-n	roh:lemma	d'öv	
07844042-n	roh:lemma	latg	
07844042-n	roh:lemma	lat	
07849336-n	roh:lemma	jogurt	
07858978-n	roh:lemma	mel	
07858978-n	roh:lemma	mel	
07858978-n	roh:lemma	d'avieuls	
07858978-n	roh:lemma	mèl	
07858978-n	roh:lemma	mèl	
07858978-n	roh:lemma	d'aviuls	
07858978-n	roh:lemma	meal	
07858978-n	roh:lemma	mêl	
07858978-n	roh:lemma	meil	
07858978-n	roh:lemma	d'aviöls	
07859284-n	roh:lemma	zutger	
07886849-n	roh:lemma	biera	
07886849-n	roh:lemma	gervosa	
07891726-n	roh:lemma	vegn	
07891726-n	roh:lemma	vin	
07933274-n	roh:lemma	te	
07933274-n	roh:lemma	té	
07933274-n	roh:lemma	tè	
07970406-n	roh:lemma	famiglia	
07985223-n	roh:lemma	pèra	
07985223-n	roh:lemma	peera	
08008335-n	roh:lemma	organisaziun	
08081668-n	roh:lemma	religiun	
08168978-n	roh:lemma	pajais	
08191230-n	roh:lemma	armada	
08191230-n	roh:lemma	armeda	
08226699-n	roh:lemma	vischnanca	
08405603-n	roh:lemma	reginavel	
08405603-n	roh:lemma	reginam	
08405603-n	roh:lemma	raginam	
08405603-n	roh:lemma	reginom	
08456993-n	roh:lemma	urden	
08521623-n	roh:lemma	santeri	
08521623-n	roh:lemma	santieri	
08521623-n	roh:lemma	sunteri	
08524735-n	roh:lemma	citad	
08544813-n	roh:lemma	pajais	
08551628-n	roh:lemma	camp	
08551628-n	roh:lemma	champ	
08551628-n	roh:lemma	tgomp	
08565701-n	roh:lemma	ur	
08565701-n	roh:lemma	our	
08619795-n	roh:lemma	plaz	
08619795-n	roh:lemma	plazza	
08621598-n	roh:lemma	lieu	
08621598-n	roh:lemma	liug	
08621598-n	roh:lemma	liac	
08621598-n	roh:lemma	li	
08621598-n	roh:lemma	lö	
08644722-n	roh:lemma	cuntrada	
08705397-n	roh:lemma	Algeria	
08711974-n	roh:lemma	Argentinia	
08716738-n	roh:lemma	Cambodscha	
08740875-n	roh:lemma	Mexico	
08753933-n	roh:lemma	Giamaica	
08756884-n	roh:lemma	Cipra	
08757264-n	roh:lemma	Tschechia	
08765890-n	roh:lemma	Svezia	
08776435-n	roh:lemma	Timor	
08776435-n	roh:lemma	da	
08776435-n	roh:lemma	l'Ost	
08779504-n	roh:lemma	Finlanda	
08814474-n	roh:lemma	Bucaresta	
08839092-n	roh:lemma	Inslas	
08839092-n	roh:lemma	da	
08839092-n	roh:lemma	Marshall	
08844557-n	roh:lemma	Papua-Nova	
08844557-n	roh:lemma	Guinea	
08845555-n	roh:lemma	Austria	
08849753-n	roh:lemma	Belgia	
08858942-n	roh:lemma	Gronda	
08858942-n	roh:lemma	Britannia	
08887841-n	roh:lemma	Irlanda	
08887841-n	roh:lemma	dal	
08887841-n	roh:lemma	nord	
08890097-n	roh:lemma	Scozia	
08894456-n	roh:lemma	Valisa	
08897065-n	roh:lemma	Egipta	
08921850-n	roh:lemma	Giapun	
08929922-n	roh:lemma	Frantscha	
08952856-n	roh:lemma	Inslas	
08952856-n	roh:lemma	Feroe	
08953324-n	roh:lemma	Islanda	
08954611-n	roh:lemma	Corea	
08955082-n	roh:lemma	Corea	
08955082-n	roh:lemma	dal	
08955082-n	roh:lemma	Nord	
08955626-n	roh:lemma	Corea	
08955626-n	roh:lemma	dal	
08955626-n	roh:lemma	Sid	
08955626-n	roh:lemma	Republica	
08955626-n	roh:lemma	Corea	
08981244-n	roh:lemma	Filippinas	
08982587-n	roh:lemma	Pologna	
08986066-n	roh:lemma	Lisbona	
08997976-n	roh:lemma	Inslas	
08997976-n	roh:lemma	da	
08997976-n	roh:lemma	Salomon	
09018162-n	roh:lemma	Aserbeidschan	
09020440-n	roh:lemma	Kirghisia	
09021503-n	roh:lemma	Turcmenia	
09023321-n	roh:lemma	Spagna	
09031653-n	roh:lemma	Svizra	
09031653-n	roh:lemma	Confederaziun	
09031653-n	roh:lemma	svizra	
09032604-n	roh:lemma	Genevra	
09034550-n	roh:lemma	Tansania	
09039411-n	roh:lemma	Tirchia	
09044190-n	roh:lemma	Emirats	
