wiktionary-cldr-merge	guj	http://wiktionary.org/	CC BY-SA
05658226-n	guj:lemma	સ્વાદ	
05753564-n	guj:lemma	શિક્ષણ	
05760202-n	guj:lemma	યાદ	
05769062-n	guj:lemma	દુઃસ્વપ્ન	
05988282-n	guj:lemma	અજ્ઞાન	
06000644-n	guj:lemma	ગણિત	
06004685-n	guj:lemma	ભૂમિતિ	
06037666-n	guj:lemma	જીવવિજ્ઞાન	
06122178-n	guj:lemma	ભૂગોળ	
06239361-n	guj:lemma	યોગ	
06239655-n	guj:lemma	જૈન	
06239655-n	guj:lemma	ધર્મ	
06282651-n	guj:lemma	ભાષા	
06319293-n	guj:lemma	સંજ્ઞા	
06323612-n	guj:lemma	ક્રિયાવિશેષણ	
06333653-n	guj:lemma	નામ	
06402031-n	guj:lemma	ડાયરી	
06402202-n	guj:lemma	બ્લોગ	
06410904-n	guj:lemma	પુસ્તક	
06418901-n	guj:lemma	શબ્દકોશ	
06431740-n	guj:lemma	બાઇબલ	
06746005-n	guj:lemma	જવાબ	
06746005-n	guj:lemma	ઉત્તર	
06878071-n	guj:lemma	સ્મિત	
06895791-n	guj:lemma	એસ્પેરાન્તો	
06896304-n	guj:lemma	ઇંટરલિંગુઆ	
06929742-n	guj:lemma	ચીની	
06939198-n	guj:lemma	ઇન્ડોનેશિયન	
06942252-n	guj:lemma	આલ્બાનિયન	
06944348-n	guj:lemma	રશિયન	
06944911-n	guj:lemma	ચેક	
06947032-n	guj:lemma	અંગ્રેજી	
06950528-n	guj:lemma	જર્મન	
06952572-n	guj:lemma	ડચ	
06952861-n	guj:lemma	આફ્રીકી	
06964901-n	guj:lemma	ફ્રાન્સીસી	
06969129-n	guj:lemma	સંસ્કૃત	
06969129-n	guj:lemma	ભાષા	
06969129-n	guj:lemma	સંસ્કૃત	
06969916-n	guj:lemma	ઉર્દૂ	
06970103-n	guj:lemma	હિન્દી	
06974127-n	guj:lemma	ફારસી	
06979957-n	guj:lemma	કન્નડ	
06979957-n	guj:lemma	ભાષા	
06980721-n	guj:lemma	તેલુગુ	
06980721-n	guj:lemma	ભાષા	
06987812-n	guj:lemma	આમ્હારિક	
06991004-n	guj:lemma	સોમાલી	
07020895-n	guj:lemma	સંગીત	
07048000-n	guj:lemma	ગીત	
07086518-n	guj:lemma	તાલ	
07110615-n	guj:lemma	અવાજ	
07153838-n	guj:lemma	કહેવત	
07196682-n	guj:lemma	પ્રશ્ન	
07484547-n	guj:lemma	આકાન્ક્ષા	
07543288-n	guj:lemma	પ્રેમ	
07569106-n	guj:lemma	આટો	
07574602-n	guj:lemma	નાસ્તો	
07601809-n	guj:lemma	કારામેલ	
07601999-n	guj:lemma	ચોકલિટ્	
07614500-n	guj:lemma	આઈસ્ક્રીમ	
07628870-n	guj:lemma	કેક	
07635155-n	guj:lemma	કૂકી	
07675627-n	guj:lemma	સોસેજ	
07675627-n	guj:lemma	ફુલમો	
07679356-n	guj:lemma	રોટલી	
07710616-n	guj:lemma	બટાટો	
07734017-n	guj:lemma	ટમેટું	
07739125-n	guj:lemma	સફરજન	
07745940-n	guj:lemma	સ્ટ્રોબેરી	
07747607-n	guj:lemma	સંતરુ	
07747607-n	guj:lemma	નારંગી	
07762244-n	guj:lemma	પપૈયાં	
07772274-n	guj:lemma	ચેસ્ટનટ	
07813107-n	guj:lemma	મીઠું	
07818277-n	guj:lemma	લસણ	
07823951-n	guj:lemma	કઢી	
07840804-n	guj:lemma	ઇંડા	
07844042-n	guj:lemma	દૂધ	
07846471-n	guj:lemma	સંઘનિત	
07846471-n	guj:lemma	દૂધ	
07850329-n	guj:lemma	ચીઝ	
07858978-n	guj:lemma	મધુ	
07885937-n	guj:lemma	મદ્ય	
07891726-n	guj:lemma	વાઇન	
07906111-n	guj:lemma	વોડકા	
07929519-n	guj:lemma	કૉફી	
07932841-n	guj:lemma	ચા	
07933274-n	guj:lemma	ચા	
07966140-n	guj:lemma	સમાજ	
07970406-n	guj:lemma	પરિવાર	
08095647-n	guj:lemma	ઇસ્લામ	
08168978-n	guj:lemma	દેશ	
08306047-n	guj:lemma	જાત	
08306047-n	guj:lemma	જાતિ	
08306047-n	guj:lemma	નાત	
08306047-n	guj:lemma	ન્યાત	
08306047-n	guj:lemma	વર્ણ	
08306047-n	guj:lemma	જ્ઞાતિ	
08306047-n	guj:lemma	કોળી	
08438533-n	guj:lemma	જંગલ	
08438533-n	guj:lemma	વન	
08509111-n	guj:lemma	જંગલ	
08510169-n	guj:lemma	સ્વદેશ	
08524735-n	guj:lemma	શહેર	
08524735-n	guj:lemma	નગર	
08665504-n	guj:lemma	શહેર	
08703454-n	guj:lemma	અફગાનિસ્તાન	
08704822-n	guj:lemma	અલ્બેનિયા	
