wiktionary-cldr-merge	tam	http://wiktionary.org/	CC BY-SA
08617963-n	tam:lemma	உச்சி	
08665504-n	tam:lemma	நகரம்	
08699654-n	tam:lemma	நமீபியா	
08703454-n	tam:lemma	ஆப்கானிஸ்தான்	
08703454-n	tam:lemma	ஆப்கனிஸ்தான்	
08711974-n	tam:lemma	அர்ஜென்டினா	
08715110-n	tam:lemma	தென்கிழக்காசியா	
08715390-n	tam:lemma	மியான்மார்	
08715390-n	tam:lemma	பர்மா	
08715777-n	tam:lemma	ரெங்கூன்	
08715777-n	tam:lemma	ரங்கூன்	
08719100-n	tam:lemma	இலங்கை	
08719465-n	tam:lemma	கொழும்பு	
08723006-n	tam:lemma	சீனா	
08724726-n	tam:lemma	பெய்ஜிங்	
08728268-n	tam:lemma	சாங்காய்	
08730550-n	tam:lemma	தைவான்	
08730895-n	tam:lemma	தாய்பெய்	
08731148-n	tam:lemma	ஹொங்கொங்	
08731423-n	tam:lemma	மக்காவு	
08740875-n	tam:lemma	மெக்சிகோ	
08753933-n	tam:lemma	யமேக்கா	
08761244-n	tam:lemma	டென்மார்க்	
08762495-n	tam:lemma	ஜிபூட்டி	
08765890-n	tam:lemma	சுவீடன்	
08766988-n	tam:lemma	ஜர்மனி	
08769645-n	tam:lemma	பெர்லின்	
08774227-n	tam:lemma	மியூனிக்	
08779504-n	tam:lemma	பின்லாந்து	
08780881-n	tam:lemma	கிரேக்க	
08780881-n	tam:lemma	நாடு	
08780881-n	tam:lemma	கிரீஸ்	
08788326-n	tam:lemma	எபேசஸ்	
08792548-n	tam:lemma	இஸ்ரேல்	
08794366-n	tam:lemma	காசா	
08794366-n	tam:lemma	கரை	
08797840-n	tam:lemma	டெல்	
08797840-n	tam:lemma	அவீவ்	
08801678-n	tam:lemma	இத்தாலி	
08813978-n	tam:lemma	உருமேனியா	
08815346-n	tam:lemma	கிகாலி	
08817418-n	tam:lemma	பெல்கிரேடு	
08817630-n	tam:lemma	போஸ்னியா	
08817630-n	tam:lemma	ஹெர்ஸிகோவினா	
08820121-n	tam:lemma	கனடா	
08822742-n	tam:lemma	எட்மன்டன்	
08830116-n	tam:lemma	சாஸ்கடூன்	
08831004-n	tam:lemma	அவுஸ்திரேலியா	
08831004-n	tam:lemma	ஆஸ்திரேலியா	
08832269-n	tam:lemma	கான்பரா	
08833130-n	tam:lemma	நியூ	
08833130-n	tam:lemma	சவுத்	
08833130-n	tam:lemma	வேல்ஸ்	
08833295-n	tam:lemma	சிட்னி	
08833809-n	tam:lemma	மெல்பேர்ண்	
08834916-n	tam:lemma	வட	
08834916-n	tam:lemma	ஆஸ்திரேலியா	
08835875-n	tam:lemma	ஓசியானியா	
08839092-n	tam:lemma	மார்ஷல்	
08839092-n	tam:lemma	தீவுகள்	
08840374-n	tam:lemma	துவாலு	
08848731-n	tam:lemma	வங்காளதேசம்	
08849753-n	tam:lemma	பெல்ஜியம்	
08850450-n	tam:lemma	பிரசல்ஸ்	
08852209-n	tam:lemma	பூட்டான்	
08852685-n	tam:lemma	காபரோனி	
08853741-n	tam:lemma	பிரேசில்	
08858942-n	tam:lemma	பெரிய	
08858942-n	tam:lemma	பிரித்தானிய	
08860123-n	tam:lemma	ஐக்கிய	
08860123-n	tam:lemma	இராச்சியம்	
08897065-n	tam:lemma	எகிப்து	
08900535-n	tam:lemma	இந்தியா	
08900535-n	tam:lemma	பாரத்	
08902097-n	tam:lemma	அசாம்	
08902196-n	tam:lemma	கர்நாடகம்	
08902321-n	tam:lemma	மணிப்பூர்	
08902894-n	tam:lemma	பஞ்சாப்	
08903049-n	tam:lemma	புது	
08903049-n	tam:lemma	தில்லி	
08903049-n	tam:lemma	நியூ	
08903049-n	tam:lemma	தில்லி	
08903352-n	tam:lemma	பெங்களூர்	
08903872-n	tam:lemma	மும்பை	
08904269-n	tam:lemma	ஐதராபாத்	
08904392-n	tam:lemma	சென்னை	
08904392-n	tam:lemma	மெட்ராஸ்	
08904731-n	tam:lemma	மைசூர்	
08904954-n	tam:lemma	ஆந்திரப்	
08904954-n	tam:lemma	பிரதேசம்	
08905085-n	tam:lemma	பீகார்	
08905186-n	tam:lemma	கோவா	
08905313-n	tam:lemma	குசராத்	
08905467-n	tam:lemma	தமிழ்நாடு	
08905467-n	tam:lemma	தமிழ்	
08905467-n	tam:lemma	நாடு	
08905936-n	tam:lemma	மகாராட்டிரம்	
08906272-n	tam:lemma	மேற்கு	
08906272-n	tam:lemma	வங்காளம்	
08906374-n	tam:lemma	நேபாளம்	
08906374-n	tam:lemma	நேப்பாளம்	
08906809-n	tam:lemma	காட்மாண்டூ	
08909933-n	tam:lemma	பாண்டுங்	
08910668-n	tam:lemma	ஈரான்	
08911421-n	tam:lemma	டெஹரான்	
08913434-n	tam:lemma	இராக்	
08913434-n	tam:lemma	ஈராக்	
08914193-n	tam:lemma	பாக்தாத்	
08920722-n	tam:lemma	ஹொக்கைடோ	
08921850-n	tam:lemma	ஜப்பான்	
08925957-n	tam:lemma	நாகசாகி	
08929555-n	tam:lemma	குவெய்த்	
08929922-n	tam:lemma	பிரான்ஸ்	
08932568-n	tam:lemma	பாரிஸ்	
08945821-n	tam:lemma	காம்பியா	
08946042-n	tam:lemma	பஞ்சுல்	
08948346-n	tam:lemma	கயானா	
08949093-n	tam:lemma	நெதர்லாந்து	
08952856-n	tam:lemma	பரோயே	
08952856-n	tam:lemma	தீவுகள்	
08953324-n	tam:lemma	ஐசுலாந்து	
08955626-n	tam:lemma	தென்	
08955626-n	tam:lemma	கொரியா	
08955951-n	tam:lemma	சியோல்	
08957064-n	tam:lemma	வியஞ்சான்	
08959683-n	tam:lemma	லிபியா	
08960099-n	tam:lemma	திரிப்பொலி	
08960363-n	tam:lemma	பங்காசி	
08963369-n	tam:lemma	மலேசியா	
08969291-n	tam:lemma	மொரோக்கோ	
08972521-n	tam:lemma	நியூசிலாந்து	
08972521-n	tam:lemma	நியூஜிலாந்து	
08973647-n	tam:lemma	நியாமி	
08975617-n	tam:lemma	சம்மு	
08975617-n	tam:lemma	காசுமீர்	
08975902-n	tam:lemma	பாகிஸ்தான்	
08975902-n	tam:lemma	பாக்கிஸ்தான்	
08975902-n	tam:lemma	பாக்கித்தான்	
08982587-n	tam:lemma	போலந்து	
08984788-n	tam:lemma	போர்த்துகல்	
08984788-n	tam:lemma	பொர்த்துகீசியா	
08993288-n	tam:lemma	சவுதி	
08993288-n	tam:lemma	அரேபியா	
08997310-n	tam:lemma	சிங்கப்பூர்	
08998560-n	tam:lemma	சோமாலியா	
09004068-n	tam:lemma	மாஸ்கோ	
09006413-n	tam:lemma	உருசியா	
09006413-n	tam:lemma	ரஷ்யா	
09008454-n	tam:lemma	சென்	
09008454-n	tam:lemma	பீட்டர்ஸ்பேர்க்	
09009978-n	tam:lemma	உஃப	
09011151-n	tam:lemma	பெலருஸ்	
09012297-n	tam:lemma	எசுத்தோனியா	
09014586-n	tam:lemma	மல்டோவா	
09014979-n	tam:lemma	உக்ரைன்	
09017526-n	tam:lemma	ஆர்மீனியா	
09018162-n	tam:lemma	அஸர்பைஜான்	
09019726-n	tam:lemma	கஜாக்ஸ்தான்	
09020961-n	tam:lemma	தஜிகிஸ்தான்	
09021503-n	tam:lemma	துருக்மெனிஸ்தான்	
09021503-n	tam:lemma	துர்க்மெனிஸ்தான்	
09022265-n	tam:lemma	உஸ்பெகிஸ்தான்	
09023321-n	tam:lemma	ஸ்பெயின்	
09031653-n	tam:lemma	சுவிட்சர்லாந்து	
09034550-n	tam:lemma	தான்சானியா	
09035305-n	tam:lemma	தங்கனீக்கா	
09036880-n	tam:lemma	பேங்காக்	
09043052-n	tam:lemma	உகாண்டா	
09043926-n	tam:lemma	கம்பாலா	
09044862-n	tam:lemma	அமெரிக்க	
09044862-n	tam:lemma	ஐக்கிய	
09044862-n	tam:lemma	நாடு	
09065557-n	tam:lemma	சான்பிரான்சிஸ்கோ	
09065557-n	tam:lemma	ஸான்பிரான்சிஸ்கோ	
09083390-n	tam:lemma	சிகாகோ	
09163192-n	tam:lemma	வியட்நாம்	
09164095-n	tam:lemma	ஹனோய்	
09207288-n	tam:lemma	ஆசியா	
09208702-n	tam:lemma	நுண்கோள்	
09217230-n	tam:lemma	கடற்கரை	
09223177-n	tam:lemma	கருங்குழி	
09223325-n	tam:lemma	கருங்கடல்	
09226997-n	tam:lemma	முழுச்சுழலி	
09229709-n	tam:lemma	குமிழி	
09236957-n	tam:lemma	விழுதொடர்	
09238926-n	tam:lemma	குகை	
09247410-n	tam:lemma	மேகம்	
09262955-n	tam:lemma	பொடுகு	
09286630-n	tam:lemma	கங்கை	
09303008-n	tam:lemma	குன்று	
09316454-n	tam:lemma	தீவு	
09322454-n	tam:lemma	குரு	
09328904-n	tam:lemma	ஏரி	
09333512-n	tam:lemma	டாங்கனிக்கா	
09333512-n	tam:lemma	ஏரி	
09351408-n	tam:lemma	புதன்	
09352282-n	tam:lemma	இடையி	
09358358-n	tam:lemma	நிலா	
09376198-n	tam:lemma	கடல்	
09382990-n	tam:lemma	பசிபிக்	
09382990-n	tam:lemma	பெருங்கடல்	
09391223-n	tam:lemma	ஒளியன்	
09395763-n	tam:lemma	கார்த்திகை	
09397607-n	tam:lemma	குட்டை	
09403427-n	tam:lemma	வானவில்	
09411430-n	tam:lemma	ஆறு	
09426788-n	tam:lemma	கடல்	
09436708-n	tam:lemma	ஆகாயம்	
09449949-n	tam:lemma	துணைக்கண்டம்	
09450163-n	tam:lemma	சூரியன்	
09450454-n	tam:lemma	சூரியன்	
09466280-n	tam:lemma	செகம்	
09466280-n	tam:lemma	ஞாலம்	
09466280-n	tam:lemma	பார்	
09466280-n	tam:lemma	உலகம்	
09470762-n	tam:lemma	வெள்ளி	
09475292-n	tam:lemma	நீர்வீழ்ச்சி	
09481523-n	tam:lemma	யாங்சே	
09494388-n	tam:lemma	டிராகன்	
09503282-n	tam:lemma	சூனியக்காரி	
09505418-n	tam:lemma	கடவுள்	
09505418-n	tam:lemma	இறைவன்	
09525961-n	tam:lemma	விநாயகர்	
09526367-n	tam:lemma	அனுமன்	
09527091-n	tam:lemma	இலட்சுமி	
09527091-n	tam:lemma	இலக்குமி	
09529999-n	tam:lemma	விஷ்ணு	
09530238-n	tam:lemma	அவதாரம்	
09532214-n	tam:lemma	புத்தன்	
09532214-n	tam:lemma	புத்தர்	
09538544-n	tam:lemma	அல்லா	
09540055-n	tam:lemma	காவல்	
09540055-n	tam:lemma	தேவதை	
09542339-n	tam:lemma	பேய்	
09668729-n	tam:lemma	சோஷோன்	
09675393-n	tam:lemma	தமிழ்	
09682291-n	tam:lemma	முஸ்லிம்	
09765278-n	tam:lemma	நடிகன்	
09777012-n	tam:lemma	தரகர்	
09818022-n	tam:lemma	விண்ணோடி	
09876454-n	tam:lemma	சகோதரன்	
09877124-n	tam:lemma	தோழரே	
09910222-n	tam:lemma	தேரோட்டி	
09918248-n	tam:lemma	குழந்தை	
09988063-n	tam:lemma	தாதா	
09988063-n	tam:lemma	தந்தை	
09989502-n	tam:lemma	நடனக்காரர்	
09992837-n	tam:lemma	மகள்	
10020890-n	tam:lemma	மருத்துவர்	
10036929-n	tam:lemma	பறையன்	
10080869-n	tam:lemma	அப்பா	
10080869-n	tam:lemma	தந்தை	
10080869-n	tam:lemma	அத்தன்	
10080869-n	tam:lemma	அப்பன்	
10082043-n	tam:lemma	மாமனார்	
10098710-n	tam:lemma	இரிஞன்	
10098710-n	tam:lemma	சத்துரு	
10098710-n	tam:lemma	சதேரன்	
10098710-n	tam:lemma	தெவ்வன்	
10098710-n	tam:lemma	பகைவன்	
10098710-n	tam:lemma	பொருநன்	
10098710-n	tam:lemma	வேரியன்	
10100761-n	tam:lemma	முட்டாள்	
10112591-n	tam:lemma	நண்பன்	
10112591-n	tam:lemma	தோழன்	
10162991-n	tam:lemma	தலைவர்	
10193967-n	tam:lemma	அம்படையன்	
10193967-n	tam:lemma	கணவன்	
10231515-n	tam:lemma	மன்னன்	
10231515-n	tam:lemma	அரசன்	
10231515-n	tam:lemma	ராஜா	
10231515-n	tam:lemma	கோ	
10278128-n	tam:lemma	அம்மா	
10283037-n	tam:lemma	அஞ்சல்	
10283037-n	tam:lemma	காரர்	
10285313-n	tam:lemma	பய்யன்	
10287213-n	tam:lemma	ஆண்	
10325013-n	tam:lemma	வீரன்	
10332385-n	tam:lemma	அம்மா	
10332385-n	tam:lemma	தாய்	
10332385-n	tam:lemma	அன்னை	
10332385-n	tam:lemma	யாய்	
10333317-n	tam:lemma	மாமியார்	
10358889-n	tam:lemma	நிஞ்சா	
10359759-n	tam:lemma	நாடோடி	
10467179-n	tam:lemma	ஜனாதிபதி	
10474645-n	tam:lemma	தலைமை	
10474645-n	tam:lemma	ஆசிரியர்	
10474645-n	tam:lemma	தலைவர்	
10485440-n	tam:lemma	விபச்சாரி	
10499355-n	tam:lemma	அரசி	
10516016-n	tam:lemma	அகதி	
10602985-n	tam:lemma	அக்கா	
10602985-n	tam:lemma	தங்கை	
10602985-n	tam:lemma	சகோதரி	
10603766-n	tam:lemma	கொழுந்தி	
10613996-n	tam:lemma	அழகு	
10613996-n	tam:lemma	எழில்	
10622053-n	tam:lemma	போர்வீரன்	
10624074-n	tam:lemma	மகன்	
10627082-n	tam:lemma	ஆன்மா	
10736091-n	tam:lemma	பெரியப்ப	
10736091-n	tam:lemma	சிதப்ப	
10780284-n	tam:lemma	விதவை	
10780632-n	tam:lemma	மனைவி	
10780632-n	tam:lemma	பொண்டாட்டி	
10787470-n	tam:lemma	பெண்	
10794014-n	tam:lemma	படைப்பாளர்	
10794014-n	tam:lemma	நூலாசிரியர்	
10906822-n	tam:lemma	கன்பூசியஸ்	
10974592-n	tam:lemma	போர்ட்	
10974592-n	tam:lemma	போர்டு	
11052672-n	tam:lemma	ஹிட்லர்	
11126490-n	tam:lemma	லெனின்	
11184092-n	tam:lemma	முகம்மது	
11184092-n	tam:lemma	நபி	
11184092-n	tam:lemma	முகம்மது	
11249322-n	tam:lemma	பூட்டின்	
11312120-n	tam:lemma	ஸ்டாலின்	
11333762-n	tam:lemma	சாய்க்கோவ்சுக்கி	
11434448-n	tam:lemma	கண்டப்பெயர்ச்சி	
11454591-n	tam:lemma	வெள்ளம்	
11458314-n	tam:lemma	மூடுபனி	
11467018-n	tam:lemma	புயல்	
11473954-n	tam:lemma	ஒளி	
11508382-n	tam:lemma	பனி	
11508382-n	tam:lemma	பனிப்பொழிவு	
11521145-n	tam:lemma	சூறாவளி	
11524662-n	tam:lemma	காலநிலை	
11525955-n	tam:lemma	காற்று	
11528225-n	tam:lemma	இடமாறுதோற்றம்	
11669335-n	tam:lemma	மலர்	
11669335-n	tam:lemma	பூ	
11978233-n	tam:lemma	சூரியகாந்தி	
12102133-n	tam:lemma	புல்	
12135898-n	tam:lemma	வரகு	
12190869-n	tam:lemma	முள்நாறிப்	
12190869-n	tam:lemma	துரியான்	
12426248-n	tam:lemma	பலுக்கல்	
12433081-n	tam:lemma	வெங்காயம்	
12501202-n	tam:lemma	புளி	
12544240-n	tam:lemma	துவரை	
12560016-n	tam:lemma	பட்டாணி	
12574470-n	tam:lemma	வெந்தயம்	
12584191-n	tam:lemma	பாக்கு	
12587803-n	tam:lemma	தேங்காய்	
12588054-n	tam:lemma	கயறு	
12607456-n	tam:lemma	அன்னாசிப்	
12607456-n	tam:lemma	பழம்	
12620196-n	tam:lemma	ரோஜா	
12630144-n	tam:lemma	செம்புற்றுப்பழம்	
12696492-n	tam:lemma	வேம்பு	
12761284-n	tam:lemma	மாங்காய்	
12761284-n	tam:lemma	மாம்பழம்	
12896000-n	tam:lemma	கத்தரி	
12896000-n	tam:lemma	கத்தரிக்காய்	
12907465-n	tam:lemma	புகையிலை	
12916511-n	tam:lemma	தேக்கு	
12936469-n	tam:lemma	கொத்தமல்லி	
12936826-n	tam:lemma	சீரகம்	
12937678-n	tam:lemma	காரட்	
12943049-n	tam:lemma	சோம்பு	
12992868-n	tam:lemma	பூஞ்சைகள்	
13104059-n	tam:lemma	மரம்	
13152742-n	tam:lemma	இலை	
13162297-n	tam:lemma	பட்டை	
13162297-n	tam:lemma	மரப்பட்டை	
13163250-n	tam:lemma	கிளை	
13250542-n	tam:lemma	பணம்	
13257511-n	tam:lemma	மொத்த	
13257511-n	tam:lemma	உள்நாட்டு	
13257511-n	tam:lemma	உற்பத்தி	
13265011-n	tam:lemma	பரிசு	
13308999-n	tam:lemma	வரி	
13310230-n	tam:lemma	வரி	
13312569-n	tam:lemma	வரி	
13313322-n	tam:lemma	வரி	
13320860-n	tam:lemma	தரகு	
13412321-n	tam:lemma	பதிவகம்	
13471815-n	tam:lemma	விந்து	
13471815-n	tam:lemma	தள்ளல்	
13537429-n	tam:lemma	ஒளிச்சேர்க்கை	
13556893-n	tam:lemma	புகை	
13594302-n	tam:lemma	பகா	
13594302-n	tam:lemma	எண்	
13596569-n	tam:lemma	காதல்	
13596569-n	tam:lemma	அன்பு	
13643276-n	tam:lemma	வோல்ட்டு	
13649791-n	tam:lemma	அங்குலம்	
13656520-n	tam:lemma	ஒளியாண்டு	
13673946-n	tam:lemma	சிங்கப்பூர்	
13673946-n	tam:lemma	வெள்ளி	
13704274-n	tam:lemma	உரூபாய்	
13704274-n	tam:lemma	ரூபாய்	
13718267-n	tam:lemma	மடங்கு	
13743269-n	tam:lemma	இரண்டு	
13744044-n	tam:lemma	மூன்று	
13787379-n	tam:lemma	செவ்வளை	
13787723-n	tam:lemma	துணைசெவ்வளை	
13788690-n	tam:lemma	இணைச்செவ்வளை	
13788690-n	tam:lemma	நேர்மாற்று	
13831176-n	tam:lemma	வடக்கு	
13832355-n	tam:lemma	கிழக்கு	
13833375-n	tam:lemma	தெற்கு	
13834399-n	tam:lemma	மேற்கு	
13840719-n	tam:lemma	அரசியல்	
13866144-n	tam:lemma	பல்கோணம்	
13873502-n	tam:lemma	வட்டம்	
13876371-n	tam:lemma	சுருளி	
13878306-n	tam:lemma	நீள்வட்டம்	
13882201-n	tam:lemma	ஐங்கோணம்	
13882276-n	tam:lemma	அறுகோணம்	
13882563-n	tam:lemma	எண்கோணம்	
13882961-n	tam:lemma	செவ்வகம்	
13883346-n	tam:lemma	செவ்வகம்	
13901585-n	tam:lemma	துளி	
13915784-n	tam:lemma	பன்னிரண்டுமுக	
13915784-n	tam:lemma	ஐங்கோணகம்	
13931145-n	tam:lemma	நட்பு	
13983515-n	tam:lemma	இருள்	
13984944-n	tam:lemma	நிழல்	
13987423-n	tam:lemma	மகிழ்ச்சி	
13987423-n	tam:lemma	சந்தோஷம்	
14004317-n	tam:lemma	இயக்கம்	
14010148-n	tam:lemma	செயலிழப்பு	
14038185-n	tam:lemma	விறைப்பு	
14040660-n	tam:lemma	தாகம்	
14099643-n	tam:lemma	டிஸ்லெக்சியா	
14127782-n	tam:lemma	வேட்டை	
14127782-n	tam:lemma	நோய்	
14127782-n	tam:lemma	உடற்தேய்வு	
14127782-n	tam:lemma	நோய்	
14133543-n	tam:lemma	கொணோறியா	
14239918-n	tam:lemma	புற்றுநோய்	
14260182-n	tam:lemma	ஆந்த்ராக்ஸ்	
14322699-n	tam:lemma	வலி	
14322699-n	tam:lemma	வேதனை	
14322699-n	tam:lemma	நோவு	
14419510-n	tam:lemma	தொடல்	
14538472-n	tam:lemma	பாதுகாப்பு	
14539826-n	tam:lemma	காப்புறுதி	
14540765-n	tam:lemma	அபாயம்	
14540765-n	tam:lemma	ஆபத்து	
14627820-n	tam:lemma	அலூமீனியம்	
14628494-n	tam:lemma	அமெரிகியம்	
14628920-n	tam:lemma	ஆர்கன்	
14629998-n	tam:lemma	பாரவியம்	
14631134-n	tam:lemma	பெர்கெலியம்	
14631295-n	tam:lemma	வெளிரியம்	
14631502-n	tam:lemma	பிஸ்மத்	
14631871-n	tam:lemma	போரான	
14631871-n	tam:lemma	கார்மம்	
14632129-n	tam:lemma	நெடியம்	
14633037-n	tam:lemma	கலிபோர்ணியம்	
14633206-n	tam:lemma	கரிமம்	
14634232-n	tam:lemma	சீரிலியம்	
14635092-n	tam:lemma	நீலிரும்பு	
14635290-n	tam:lemma	மென்வெள்ளி	
14635722-n	tam:lemma	செம்பு	
14636220-n	tam:lemma	கியூரியம்	
14636523-n	tam:lemma	டப்னியம்	
14636822-n	tam:lemma	ஐன்ஸ்டீனியம்	
14637339-n	tam:lemma	வெளுகன்	
14637507-n	tam:lemma	ஃவுளூரின்	
14637507-n	tam:lemma	வினைவியம்	
14637864-n	tam:lemma	வெடியிதள்	
14637864-n	tam:lemma	பிரன்சியம்	
14638041-n	tam:lemma	கடோலினியம்	
14638256-n	tam:lemma	மென்தங்கம்	
14638517-n	tam:lemma	சாம்பலியம்	
14638799-n	tam:lemma	தங்கம்	
14638799-n	tam:lemma	பொன்	
14639556-n	tam:lemma	ஹப்னியம்	
14639921-n	tam:lemma	ஹீலியம்	
14639921-n	tam:lemma	பரிதியம்	
14640222-n	tam:lemma	ஹொல்மியம்	
14640434-n	tam:lemma	நீரகம்	
14640434-n	tam:lemma	ஹைட்ரஜன்	
14641223-n	tam:lemma	இந்தியம்	
14641397-n	tam:lemma	அயடின்	
14642219-n	tam:lemma	இரிடியம்	
14642417-n	tam:lemma	இரும்பு	
14642916-n	tam:lemma	மறைவியம்	
14643118-n	tam:lemma	மாய்மம்	
14643323-n	tam:lemma	லோரென்சியம்	
14643793-n	tam:lemma	மென்னியம்	
14644063-n	tam:lemma	மிளிரியம்	
14644249-n	tam:lemma	மக்னீசியம்	
14644249-n	tam:lemma	வல்லகுவம்	
14645092-n	tam:lemma	மெண்டலேவியம்	
14645661-n	tam:lemma	போன்றீயம்	
14645882-n	tam:lemma	நியோடைமியம்	
14646152-n	tam:lemma	நியான்	
14646152-n	tam:lemma	ஒளிரியம்	
14646403-n	tam:lemma	நெருப்பியம்	
14646610-n	tam:lemma	வன்வெள்ளி	
14646942-n	tam:lemma	களங்கன்	
14647722-n	tam:lemma	நோபெலியம்	
14647907-n	tam:lemma	ஒஸ்மியம்	
14648100-n	tam:lemma	ஆக்ஸிஜன்	
14648100-n	tam:lemma	உயிரியம்	
14649543-n	tam:lemma	வெண்தங்கம்	
14649543-n	tam:lemma	வெண்மம்	
14649543-n	tam:lemma	விழுப்பொன்	
14650807-n	tam:lemma	வெடியம்	
14652104-n	tam:lemma	ஆரகன்	
14653831-n	tam:lemma	ஸ்கண்டியம்	
14654954-n	tam:lemma	வெள்ளி	
14655371-n	tam:lemma	உவர்மம்	
14655731-n	tam:lemma	சிதறியம்	
14656219-n	tam:lemma	கந்தகம்	
14657047-n	tam:lemma	பசகன்	
14657228-n	tam:lemma	வெண்கந்தகம்	
14657818-n	tam:lemma	தல்லியம்	
14658855-n	tam:lemma	தகரம்	
14659211-n	tam:lemma	டைட்டேனியம்	
14659512-n	tam:lemma	தங்ஸ்தென்	
14659794-n	tam:lemma	யுனன்பியம்	
14660443-n	tam:lemma	அடரியம்	
14661274-n	tam:lemma	செனன்	
14662281-n	tam:lemma	வன்தங்கம்	
14677778-n	tam:lemma	உறைகளிக்கல்	
14682133-n	tam:lemma	மூலக்கூறு	
14686913-n	tam:lemma	கல்நெய்	
14725591-n	tam:lemma	கல்நார்	
14769160-n	tam:lemma	சாம்பல்	
14796969-n	tam:lemma	கரியமில	
14796969-n	tam:lemma	வாயு/வளி	
14841267-n	tam:lemma	வாயு	
14841267-n	tam:lemma	காற்று	
14842847-n	tam:lemma	நெருப்பு	
14845743-n	tam:lemma	தண்ணீர்	
14845743-n	tam:lemma	நீர்	
14917635-n	tam:lemma	மையினால்	
14930989-n	tam:lemma	லாவா	
14931879-n	tam:lemma	தீப்பாறை	
14956325-n	tam:lemma	சேறு	
14972807-n	tam:lemma	சாரலியம்	
14974264-n	tam:lemma	காகிதம்	
15062955-n	tam:lemma	வெல்லம்	
15100644-n	tam:lemma	விறகு	
15121406-n	tam:lemma	வரலாறு	
15155220-n	tam:lemma	நாள்	
15156187-n	tam:lemma	நேற்று	
15163797-n	tam:lemma	ஞாயிறு	
15163979-n	tam:lemma	திங்கள்	
15164105-n	tam:lemma	செவ்வாய்	
15164233-n	tam:lemma	புதன்	
15167027-n	tam:lemma	இரவு	
15196186-n	tam:lemma	கிறித்துமசு	
15201505-n	tam:lemma	வருடம்	
15201505-n	tam:lemma	வஷம்	
15201505-n	tam:lemma	ஆண்டு	
15210045-n	tam:lemma	ஜனவரி	
15210486-n	tam:lemma	பெப்ரவரி	
15210870-n	tam:lemma	மார்ச்	
15211189-n	tam:lemma	ஏப்ரல்	
15211806-n	tam:lemma	ஜூன்	
15212455-n	tam:lemma	ஆகஸ்டு	
15227846-n	tam:lemma	மணி	
15227846-n	tam:lemma	மணித்தியாலம்	
15234764-n	tam:lemma	நுணுத்தம்	
15250178-n	tam:lemma	பிறந்தநாள்	
00005567-r	tam:lemma	தன்னியக்கமாக	
00019339-r	tam:lemma	எப்பொழுதும்	
00035058-r	tam:lemma	அடிக்கடி	
00035058-r	tam:lemma	பலநேரம்	
00035058-r	tam:lemma	அவ்வப்பொழுது	
00047903-r	tam:lemma	முடிவில்	
00207366-r	tam:lemma	இன்று	
00479275-r	tam:lemma	நாளை	
00507716-r	tam:lemma	நேற்று	
00018526-v	tam:lemma	விழி	
00066191-v	tam:lemma	அழு	
00102974-v	tam:lemma	ஜொள்ளு	
00124442-v	tam:lemma	அசை	
00613393-v	tam:lemma	கைவிடுதல்	
00648764-v	tam:lemma	கூகிள்	
00648764-v	tam:lemma	பண்ணு	
00687523-v	tam:lemma	ஐயம்	
00687523-v	tam:lemma	சந்தேகம்	
00755745-v	tam:lemma	எதிர்ப்பார்த்தல்	
00864159-v	tam:lemma	கண்டனம்	
00864159-v	tam:lemma	தெரிவி	
00993014-v	tam:lemma	எழுத்து	
01168468-v	tam:lemma	சாப்பிடு	
01168468-v	tam:lemma	உண்	
01323958-v	tam:lemma	கொல்	
01357831-v	tam:lemma	ஆணி	
01437254-v	tam:lemma	அனுப்பு	
01567275-v	tam:lemma	நடு	
01729431-v	tam:lemma	பாடு	
01775535-v	tam:lemma	காதலி	
01775535-v	tam:lemma	அன்பு	
01775535-v	tam:lemma	செலுத்து	
01792097-v	tam:lemma	மனதிற்கு	
01792097-v	tam:lemma	தொல்லை	
01792097-v	tam:lemma	கொடு	
01835496-v	tam:lemma	செல்	
01835496-v	tam:lemma	போ	
01849221-v	tam:lemma	வா	
01894649-v	tam:lemma	ஆடு	
01894649-v	tam:lemma	கூத்தாடு	
01894649-v	tam:lemma	நடனமாடு	
01904930-v	tam:lemma	வாக்	
01926311-v	tam:lemma	ஓடு	
02129289-v	tam:lemma	பார்	
02169891-v	tam:lemma	கேள்	
02207206-v	tam:lemma	வாங்கு	
02725714-v	tam:lemma	தடுத்தல்	
06978656-n	tam:lemma	அப்காஜியான்	
06973941-n	tam:lemma	அவெஸ்தான்	
ஆஃப்ரிகான்ஸ்ஆஃப்ரிகான்ஸ்ஆஃப்ரிகான்ஸ்ஆஃப்ரிகான்ஸ்
06997486-n	tam:lemma	அகான்	
06987525-n	tam:lemma	அக்கேதியன்	
06918312-n	tam:lemma	அலூட்	
06906971-n	tam:lemma	அல்கான்கியன்	
06987812-n	tam:lemma	அம்ஹாரிக்	
06949591-n	tam:lemma	பழைய	
06919433-n	tam:lemma	அபாச்சி	
06988057-n	tam:lemma	அரபு	
06988307-n	tam:lemma	அராமைக்	
06908291-n	tam:lemma	அரபஹோ	
06894544-n	tam:lemma	செயற்கையான	
06917764-n	tam:lemma	அராவாக்	
06970784-n	tam:lemma	அஸ்ஸாமி	
06927007-n	tam:lemma	அசர்பாய்ஜானி	
06927007-n	tam:lemma	அஸேரி	
06974687-n	tam:lemma	பெலுசி	
