# Wiktionary	ada	http://wiktionary.org/	CC BY-SA
00009966-r	ada:lemma	i
00009966-r	ada:lemma	kpa
00009966-r	ada:lemma	mo
00009966-r	ada:lemma	pɛ
00892315-v	ada:lemma	tsumi
01775535-v	ada:lemma	suɔ
