# Wiktionary	ase	http://wiktionary.org/	CC BY-SA
01837744-a	ase:lemma	CirclesSurface
01837744-a	ase:lemma	Contact
01847672-a	ase:lemma	1@NearFinger-Open8@Center-PalmDown
01847672-a	ase:lemma	Contact
01847672-a	ase:lemma	1@NearFinger-Open8@Center-PalmDown
02062670-a	ase:lemma	1@InsideChesthigh-PalmDown-1@InsideChesthigh-PalmDown
02062670-a	ase:lemma	1@Radial-PalmDown-1@CenterChesthigh-PalmDown
02062670-a	ase:lemma	Y@InsideChesthigh-PalmDown
02062670-a	ase:lemma	Sidetoside
02090069-a	ase:lemma	A@Mouth-ThumbBack
02090069-a	ase:lemma	Contact
02431728-a	ase:lemma	BentB@IpsiChest-PalmBack-BentB@IpsiChest-PalmBack
02431728-a	ase:lemma	BentB@IpsiChest-PalmUp-BentB@IpsiChest-PalmUp
02456157-a	ase:lemma	1@InsideTrunkhigh-FingerDown-1@InsideTrunkhigh-FingerDown
02456157-a	ase:lemma	SmallSidetoside
02539968-a	ase:lemma	OpenB@DistalSideChesthigh-PalmAcross
02539968-a	ase:lemma	RoundVert
02539968-a	ase:lemma	OpenB@DistalInsideTrunkhigh-PalmUp
02539968-a	ase:lemma	RoundHoriz
02539968-a	ase:lemma	OpenB@N
02898922-a	ase:lemma	C@NearFinger-PalmForwardHandUp-1@CenterChesthigh-FingerUp
02898922-a	ase:lemma	RoundHoriz
02898922-a	ase:lemma	C@NearFinger-PalmBackHandUp-1@C
02964782-a	ase:lemma	1@ContraShoulder-FingerBack
02964782-a	ase:lemma	1@IpsiShoulder-FingerBack
02964782-a	ase:lemma	1@Abdomen-FingerBack
00021265-n	ase:lemma	FlatO@Mouth-PalmBack
00030358-n	ase:lemma	C@SideTrunkhigh-PalmDown-C@SideTrunkhigh-PalmDown
00030358-n	ase:lemma	RoundVertSidetoside-RoundVertSidetoside
00037396-n	ase:lemma	C@SideTrunkhigh-PalmDown-C@SideTrunkhigh-PalmDown
00037396-n	ase:lemma	RoundVertSidetoside-RoundVertSidetoside
00037396-n	ase:lemma	Claw5@SideTrunkhigh-PalmDown-Claw5@SideTrunkhigh-PalmDown
00037396-n	ase:lemma	RoundVertSidetoside-RoundVertSidetoside
00058743-n	ase:lemma	1@Palm-PalmDown-5@CenterNeckhigh-PalmDown
00058743-n	ase:lemma	1@FromFinger-PalmDown-5@CenterNeckhigh-PalmDown
00058743-n	ase:lemma	1@InFinger-PalmForward-5@CenterNeckhigh-PalmDown
00058743-n	ase:lemma	1@FromFinger-PalmForward-5@CenterNeckhigh-PalmDown
00235435-n	ase:lemma	1@InFinger-PalmDown-OpenB@CenterChesthigh
00235435-n	ase:lemma	1@InFinger-PalmUp-OpenB@CenterChesthigh
00334509-n	ase:lemma	FlatB@InsideChesthigh-FlatB@InsideChesthigh
00334509-n	ase:lemma	CirclesMidline-CirclesMidline
00428270-n	ase:lemma	V@NearPalm-FingerDown-OpenB@CenterTrunkhigh-PalmUp
00428270-n	ase:lemma	Sidetoside
00786195-n	ase:lemma	A@NearInsideChesthigh-PalmAcross-A@NearInsideChesthigh-PalmAcross
00786195-n	ase:lemma	A@InsideChesthigh-PalmDown-A@Insid
00894552-n	ase:lemma	A@RadialFinger-PalmAcross-1@CenterChesthigh-PalmDown
00894552-n	ase:lemma	Frontandback
01227190-n	ase:lemma	BentB@BaseHand-PalmDown-OpenB@CenterSternumhigh-UlnarAcross
01227190-n	ase:lemma	BentB@TipHand-PalmDown-OpenB@CenterStern
01257701-n	ase:lemma	BentB@BaseHand-PalmDown-OpenB@CenterSternumhigh-UlnarAcross
01257701-n	ase:lemma	BentB@TipHand-PalmDown-OpenB@CenterStern
03094159-n	ase:lemma	Open8@Cheek-PalmBack
03094159-n	ase:lemma	Open8@Cheek-PalmBack
03365991-n	ase:lemma	B@InsideChesthigh-PalmDown-B@InsideChesthigh-PalmDown
03365991-n	ase:lemma	B@SideChesthigh-PalmDown-B@SideChesthigh-PalmD
03925226-n	ase:lemma	1@NearCheek-1@NearCheek
03925226-n	ase:lemma	X@NearCheek-X@NearCheek
04033425-n	ase:lemma	G@Chest-PalmDown
04033425-n	ase:lemma	G@Abdomen
04081281-n	ase:lemma	R@Chin
04081281-n	ase:lemma	R@NearChin
04081281-n	ase:lemma	R@Chin
04081281-n	ase:lemma	R@NearChin
04105893-n	ase:lemma	FlatB@InsideChesthigh-PalmAcross-FlatB@InsideChesthigh-PalmAcross
04105893-n	ase:lemma	FlatB@InsideTrunkhigh-FlatB@Inside
04105893-n	ase:lemma	R@InsideChesthigh-PalmAcross-R@InsideChesthigh-PalmAcross
04105893-n	ase:lemma	R@InsideTrunkhigh-R@InsideTrunkhigh
04105893-n	ase:lemma	R@Dist
04133789-n	ase:lemma	1@BackFinger-PalmDown-5@InsideTrunkhigh-PalmDown
04133789-n	ase:lemma	Frontandback
04133789-n	ase:lemma	1@BackHand-PalmDown-5@InsideTrunkhigh-
04133789-n	ase:lemma	2@UlnarBackFinger-PalmBack-4@InsideTrunkhigh-PalmDown
04133789-n	ase:lemma	2@RadialBackFinger
04133789-n	ase:lemma	2@UlnarBackHand
04133789-n	ase:lemma	2@RadialBac
04674968-n	ase:lemma	5@Chin-PalmBack
04674968-n	ase:lemma	Wiggle
04960729-n	ase:lemma	5@Chest-PalmBack
04960729-n	ase:lemma	FlatO@NearChest-PalmBack
04965179-n	ase:lemma	C@NearChin
04965179-n	ase:lemma	Squeeze
04965661-n	ase:lemma	Y@Side
04965661-n	ase:lemma	Twist
04971928-n	ase:lemma	B@Cheek-PalmForward
04971928-n	ase:lemma	B@Jaw-PalmForward
05200169-n	ase:lemma	S@Sternumhigh-PalmDown-S@Sternumhigh-PalmDown
05200169-n	ase:lemma	S@Chesthigh-PalmDown-S@Chesthigh-PalmDown
05554405-n	ase:lemma	Claw@NearInsideChesthigh-PalmBack-Claw@NearInsideChesthigh-PalmBack
05554653-n	ase:lemma	Claw@NearInsideChesthigh-PalmBack-Claw@NearInsideChesthigh-PalmBack
05616246-n	ase:lemma	S@Sternumhigh-PalmDown-S@Sternumhigh-PalmDown
05616246-n	ase:lemma	S@Chesthigh-PalmDown-S@Chesthigh-PalmDown
05790758-n	ase:lemma	Open8@Chin-PalmBack
05790758-n	ase:lemma	Contact
05790758-n	ase:lemma	Contact
05833683-n	ase:lemma	A@Chest-PalmBack
05833683-n	ase:lemma	CirclesVert
05984936-n	ase:lemma	C@NearFinger-PalmForwardHandUp-1@CenterChesthigh-FingerUp
05984936-n	ase:lemma	RoundHoriz
05984936-n	ase:lemma	C@NearFinger-PalmBackHandUp-1@C
06194409-n	ase:lemma	C@NearFinger-PalmForwardHandUp-1@CenterChesthigh-FingerUp
06194409-n	ase:lemma	RoundHoriz
06194409-n	ase:lemma	C@NearFinger-PalmBackHandUp-1@C
06256697-n	ase:lemma	OpenA@Palm-ThumbDown-FlatB@CenterChesthigh-PalmUp
06256697-n	ase:lemma	CirclesVert
06308436-n	ase:lemma	C@Side-PalmAcross
06308436-n	ase:lemma	L@Side-PalmAcross
06333653-n	ase:lemma	H@RadialFinger-H@CenterChesthigh
06333653-n	ase:lemma	Contact
06333653-n	ase:lemma	Contact
06418901-n	ase:lemma	D@NearPalm-PalmDown-OpenB@CenterChesthigh-PalmUp
06418901-n	ase:lemma	CirclesMidlineContact
06495328-n	ase:lemma	4@RadialPalm-OpenB@CenterChesthigh
06495328-n	ase:lemma	Contact
06495328-n	ase:lemma	4@UlnarPalm
06495328-n	ase:lemma	4@BasePalm
06495328-n	ase:lemma	Contact
06495328-n	ase:lemma	4@TipFinger
06552639-n	ase:lemma	BentB@BaseHand-PalmDown-OpenB@CenterSternumhigh-UlnarAcross
06552639-n	ase:lemma	BentB@TipHand-PalmDown-OpenB@CenterStern
06629610-n	ase:lemma	OpenB@SideChesthigh-PalmForward
06629610-n	ase:lemma	BentB@SideChesthigh-PalmForward
06631322-n	ase:lemma	OpenB@DistalSideChesthigh-PalmAcross
06631322-n	ase:lemma	RoundVert
06631322-n	ase:lemma	OpenB@DistalInsideTrunkhigh-PalmUp
06631322-n	ase:lemma	RoundHoriz
06631322-n	ase:lemma	OpenB@N
06633363-n	ase:lemma	A@Chest-PalmBack
06633363-n	ase:lemma	CirclesVert
06673142-n	ase:lemma	A@Mouth-ThumbBack
06673142-n	ase:lemma	Contact
06741305-n	ase:lemma	BentB@BaseHand-PalmDown-OpenB@CenterSternumhigh-UlnarAcross
06741305-n	ase:lemma	BentB@TipHand-PalmDown-OpenB@CenterStern
06777164-n	ase:lemma	Corna@Nose-Corna@@SideChesthigh
06777164-n	ase:lemma	Corna@RadialHand-Corna@CenterChesthigh
07228971-n	ase:lemma	OpenB@Chin-PalmBack
07228971-n	ase:lemma	OpenB@FromChin-PalmUp
07279285-n	ase:lemma	Open8@Finger-TipUpPalmForward-Open8@CenterChesthigh-TipUpPalmBack
07279285-n	ase:lemma	Contact
07301543-n	ase:lemma	5@SideChesthigh-FingerAcross-5@SideChesthigh-FingerAcross
07301543-n	ase:lemma	S@Tip-TipAcross-S@CenterChesthigh-TipAcros
07301543-n	ase:lemma	3@SideChesthigh-FingerAcross-3@SideChesthigh-FingerAcross
07301543-n	ase:lemma	S@Tip-TipAcross-S@CenterChesthigh-TipAcros
07301543-n	ase:lemma	3@SideChesthigh-FingerAcross-S@CenterChesthigh-TipAcross
07301543-n	ase:lemma	S@Tip-TipAcross-S@CenterChesthigh-TipAcross
07301543-n	ase:lemma	3@SideChesthigh-FingerAcross-1@CenterChesthigh-FingerUp
07301543-n	ase:lemma	S@Finger-TipFinger-1@CenterChesthigh-FingerU
07493280-n	ase:lemma	B@Sternum-PalmDown-B@Chest-PalmDown
07493280-n	ase:lemma	B@Trunk-PalmDown-B@Abdomen-PalmDown
07695965-n	ase:lemma	FlatB@FromMouth-PalmDown-FlatB@Palm-PalmUp
07695965-n	ase:lemma	FlatB@NearMouth-FlatB@Palm
07695965-n	ase:lemma	BentB@BackHand-PalmBack-BentB@NearMouth-PalmBack
07695965-n	ase:lemma	BentB@BackHand-BentB@Mouth
07695965-n	ase:lemma	BentB@PalmChesthigh-PalmBackThumbAside-B@FromMouth-PalmBack
07697537-n	ase:lemma	1@NearPalm-C@CenterChesthigh-PalmUp
07697537-n	ase:lemma	Contact
07747607-n	ase:lemma	C@NearChin
07747607-n	ase:lemma	Squeeze
07806221-n	ase:lemma	Claw5@SideTrunkhigh-PalmUp-Claw5@SideTrunkhigh-PalmUp
07806221-n	ase:lemma	Claw5@InsideChesthigh-PalmUp-Claw5@InsideChest
07848338-n	ase:lemma	H@TipPalm-PalmDown-OpenB@CenterChesthigh-PalmUp
07848338-n	ase:lemma	Contact
07848338-n	ase:lemma	H@BasePalm
07848338-n	ase:lemma	H@TipPalm
07848338-n	ase:lemma	Contact
07848338-n	ase:lemma	H@BasePalm
07848338-n	ase:lemma	H@Ti
07915918-n	ase:lemma	M@RadialHand-PalmDown-S@CenterChesthigh-PalmBack
07915918-n	ase:lemma	RoundSurface
07970406-n	ase:lemma	9@RadialHand-PalmForward-9@CenterChesthigh-PalmForward
07970406-n	ase:lemma	RoundHoriz-RoundHoriz
07970406-n	ase:lemma	9@UlnarHand-PalmBack-9@
08276720-n	ase:lemma	OpenB@Palm-PalmDown-OpenB@CenterChesthigh-PalmUp
08276720-n	ase:lemma	Contact
08276720-n	ase:lemma	Contact
09117351-n	ase:lemma	Y@Palm-PalmDown-OpenB@CenterChesthigh-PalmUp
09117351-n	ase:lemma	Sidetoside
09154178-n	ase:lemma	S@NearSide-PalmForward
09154178-n	ase:lemma	Sidetoside
09270894-n	ase:lemma	Open8@BackHand-PalmDown-S@CenterChesthigh-PalmDown
09270894-n	ase:lemma	Twist
09403427-n	ase:lemma	4@NearTipFinger-PalmBackFingerDown-4@SideTrunkhigh-PalmBackFingerUp
09403427-n	ase:lemma	RoundVert
09403427-n	ase:lemma	4@SideTrunkhigh-PalmBa
09591973-n	ase:lemma	C
09591973-n	ase:lemma	Contact
09591973-n	ase:lemma	Contact
10076033-n	ase:lemma	G@Chest-PalmDown
10076033-n	ase:lemma	G@Abdomen
10080869-n	ase:lemma	5@Forehead-ThumbBack
10080869-n	ase:lemma	Contact
10112591-n	ase:lemma	X@Finger@PalmDown-X@CenterChesthigh-PalmUp
10112591-n	ase:lemma	X@Finger@PalmUp-X@CenterChesthigh-PalmDown
10285313-n	ase:lemma	FlatC@Forehead
10285313-n	ase:lemma	Flatten
10285313-n	ase:lemma	FlatO@Forehead
10287213-n	ase:lemma	A@Forehead-5Chest
10287213-n	ase:lemma	Vert
10332385-n	ase:lemma	5@Chin-ThumbBack
10332385-n	ase:lemma	Contact
10499857-n	ase:lemma	G@Chest-PalmDown
10499857-n	ase:lemma	G@Abdomen
10548537-n	ase:lemma	FlatO@InsideChesthigh-PalmDown-FlatO@InsideChesthigh-PalmDown
10548537-n	ase:lemma	Nod
10548537-n	ase:lemma	FlatO@InsideChesthigh-PalmForward-
11418460-n	ase:lemma	Open8@Chin-PalmBack
11418460-n	ase:lemma	Open8@NearSideChinhigh-PalmForward
11501381-n	ase:lemma	Claw5@SideForeheadhigh-PalmDown-Claw5@SideForeheadhigh-PalmDown
