wiktionary-cldr-merge	bod	http://wiktionary.org/	CC BY-SA
14974264-n	bod:lemma	ཤོག་བུ།	
15155220-n	bod:lemma	ཉི་མ	
15156001-n	bod:lemma	ད་རིང་	
15163797-n	bod:lemma	གཟའ་ཉི་མ	
15196186-n	bod:lemma	ཡེ་ཤུའི་འཁྲུངས་སྐར།	
15210045-n	bod:lemma	ཟླ་དང་པོ།	
15211484-n	bod:lemma	ཟླ་ལྔ་བ།	
15237250-n	bod:lemma	དབྱར་ཀ	
00207366-r	bod:lemma	ད་རིང་	
00993014-v	bod:lemma	བྲིས	
06970946-n	bod:lemma	བྷང་ག་ལའི་སྐད།	
06933931-n	bod:lemma	པོད་སྐད་	
ཏེན་མག་གི་སྐད།ཏེན་མག་གི་སྐད།ཏེན་མག་གི་སྐད།ཏེན་མག་གི་སྐད།
06950528-n	bod:lemma	འཇར་མན་གྱི།	
06947032-n	bod:lemma	དབིན་ཇིའི་སྐད།	
06966825-n	bod:lemma	ཞི་པན་ཡའི།	
06964901-n	bod:lemma	ཧྥ་རན་སིའི་།	
06971454-n	bod:lemma	གུཇ་རཱཏི་སྐད།	
06970103-n	bod:lemma	ཧིན་དི	
06939198-n	bod:lemma	ཨིན་དོ་ནི་སི་སྐད།	
06964247-n	bod:lemma	དབྱི་ཏ་་ལའི་མི།	
06929279-n	bod:lemma	རི་པིན་སྐད་	
06979957-n	bod:lemma	ཀནྣ་ཌ་སྐད།	
06929171-n	bod:lemma	ཁོ་རེ་ཡའི་སྐད།	
06962600-n	bod:lemma	ལཱ་ཏིན་སྐད།	
06928839-n	bod:lemma	སོག་སྐད།	
06971281-n	bod:lemma	མ་ར་ཐི་སྐད།	
06939051-n	bod:lemma	མ་ལ་ཡ་སྐད།	
06932435-n	bod:lemma	འབར་མའི་སྐད།	
06972985-n	bod:lemma	ནེ་པ་ལི	
06952572-n	bod:lemma	ཧའོ་ལན་སྐད།	
06971123-n	bod:lemma	ཨཽ་རི་ཡ་སྐད།	
06944720-n	bod:lemma	པོ་ལན་སྐད།	
06966310-n	bod:lemma	ཕི་ཐོ་ཡའི།	
06944348-n	bod:lemma	ཨུ་རུ་སུ་སྐད་	
06969129-n	bod:lemma	སཾ་སྐྲྀ་ཏ།	
06971741-n	bod:lemma	ཞི་ལན་སྐད།	
06954925-n	bod:lemma	ཧྲུའི་ཏན་སྐད།	
06980315-n	bod:lemma	ཏཱ་མིལ་སྐད།	
06980721-n	bod:lemma	ཏེ་ལུ་གུ་སྐད།	
06936149-n	bod:lemma	ཐའའི་ཡུལ་སྐད།	
06926798-n	bod:lemma	ཐུར་ཁེའི་སྐད།	
06927486-n	bod:lemma	ཡུ་གུར་སྐད།	
06944623-n	bod:lemma	ཡུ་ཀྲ་ནི་སྐད།	
